"epi_dates","epi_wk_no","year"
2016-01-03,1,2016
2016-01-10,2,2016
2016-01-17,3,2016
2016-01-24,4,2016
2016-01-31,5,2016
2016-02-07,6,2016
2016-02-14,7,2016
2016-02-21,8,2016
2016-02-28,9,2016
2016-03-06,10,2016
2016-03-13,11,2016
2016-03-20,12,2016
2016-03-27,13,2016
2016-04-03,14,2016
2016-04-10,15,2016
2016-04-17,16,2016
2016-04-24,17,2016
2016-05-01,18,2016
2016-05-08,19,2016
2016-05-15,20,2016
2016-05-22,21,2016
2016-05-29,22,2016
2016-06-05,23,2016
2016-06-12,24,2016
2016-06-19,25,2016
2016-06-26,26,2016
2016-07-03,27,2016
2016-07-10,28,2016
2016-07-17,29,2016
2016-07-24,30,2016
2016-07-31,31,2016
2016-08-07,32,2016
2016-08-14,33,2016
2016-08-21,34,2016
2016-08-28,35,2016
2016-09-04,36,2016
2016-09-11,37,2016
2016-09-18,38,2016
2016-09-25,39,2016
2016-10-02,40,2016
2016-10-09,41,2016
2016-10-16,42,2016
2016-10-23,43,2016
2016-10-30,44,2016
2016-11-06,45,2016
2016-11-13,46,2016
2016-11-20,47,2016
2016-11-27,48,2016
2016-12-04,49,2016
2016-12-11,50,2016
2016-12-18,51,2016
2016-12-25,52,2016
2017-01-01,1,2017
2017-01-08,2,2017
2017-01-15,3,2017
2017-01-22,4,2017
2017-01-29,5,2017
2017-02-05,6,2017
2017-02-12,7,2017
2017-02-19,8,2017
2017-02-26,9,2017
2017-03-05,10,2017
2017-03-12,11,2017
2017-03-19,12,2017
2017-03-26,13,2017
2017-04-02,14,2017
2017-04-09,15,2017
2017-04-16,16,2017
2017-04-23,17,2017
2017-04-30,18,2017
2017-05-07,19,2017
2017-05-14,20,2017
2017-05-21,21,2017
2017-05-28,22,2017
2017-06-04,23,2017
2017-06-11,24,2017
2017-06-18,25,2017
2017-06-25,26,2017
2017-07-02,27,2017
2017-07-09,28,2017
2017-07-16,29,2017
2017-07-23,30,2017
2017-07-30,31,2017
2017-08-06,32,2017
2017-08-13,33,2017
2017-08-20,34,2017
2017-08-27,35,2017
2017-09-03,36,2017
2017-09-10,37,2017
2017-09-17,38,2017
2017-09-24,39,2017
2017-10-01,40,2017
2017-10-08,41,2017
2017-10-15,42,2017
2017-10-22,43,2017
2017-10-29,44,2017
2017-11-05,45,2017
2017-11-12,46,2017
2017-11-19,47,2017
2017-11-26,48,2017
2017-12-03,49,2017
2017-12-10,50,2017
2017-12-17,51,2017
2017-12-24,52,2017
2017-12-31,1,2018
2018-01-07,2,2018
2018-01-14,3,2018
2018-01-21,4,2018
2018-01-28,5,2018
2018-02-04,6,2018
2018-02-11,7,2018
2018-02-18,8,2018
2018-02-25,9,2018
2018-03-04,10,2018
2018-03-11,11,2018
2018-03-18,12,2018
2018-03-25,13,2018
2018-04-01,14,2018
2018-04-08,15,2018
2018-04-15,16,2018
2018-04-22,17,2018
2018-04-29,18,2018
2018-05-06,19,2018
2018-05-13,20,2018
2018-05-20,21,2018
2018-05-27,22,2018
2018-06-03,23,2018
2018-06-10,24,2018
2018-06-17,25,2018
2018-06-24,26,2018
2018-07-01,27,2018
2018-07-08,28,2018
2018-07-15,29,2018
2018-07-22,30,2018
2018-07-29,31,2018
2018-08-05,32,2018
2018-08-12,33,2018
2018-08-19,34,2018
2018-08-26,35,2018
2018-09-02,36,2018
2018-09-09,37,2018
2018-09-16,38,2018
2018-09-23,39,2018
2018-09-30,40,2018
2018-10-07,41,2018
2018-10-14,42,2018
2018-10-21,43,2018
2018-10-28,44,2018
2018-11-04,45,2018
2018-11-11,46,2018
2018-11-18,47,2018
2018-11-25,48,2018
2018-12-02,49,2018
2018-12-09,50,2018
2018-12-16,51,2018
2018-12-23,52,2018
2018-12-30,1,2019
2019-01-06,2,2019
2019-01-13,3,2019
2019-01-20,4,2019
2019-01-27,5,2019
2019-02-03,6,2019
2019-02-10,7,2019
2019-02-17,8,2019
2019-02-24,9,2019
2019-03-03,10,2019
2019-03-10,11,2019
2019-03-17,12,2019
2019-03-24,13,2019
2019-03-31,14,2019
2019-04-07,15,2019
2019-04-14,16,2019
2019-04-21,17,2019
2019-04-28,18,2019
2019-05-05,19,2019
2019-05-12,20,2019
2019-05-19,21,2019
2019-05-26,22,2019
2019-06-02,23,2019
2019-06-09,24,2019
2019-06-16,25,2019
2019-06-23,26,2019
2019-06-30,27,2019
2019-07-07,28,2019
2019-07-14,29,2019
2019-07-21,30,2019
2019-07-28,31,2019
2019-08-04,32,2019
2019-08-11,33,2019
2019-08-18,34,2019
2019-08-25,35,2019
2019-09-01,36,2019
2019-09-08,37,2019
2019-09-15,38,2019
2019-09-22,39,2019
2019-09-29,40,2019
2019-10-06,41,2019
2019-10-13,42,2019
2019-10-20,43,2019
2019-10-27,44,2019
2019-11-03,45,2019
2019-11-10,46,2019
2019-11-17,47,2019
2019-11-24,48,2019
2019-12-01,49,2019
2019-12-08,50,2019
2019-12-15,51,2019
2019-12-22,52,2019
2022-01-02,1,2022
2022-01-09,2,2022
2022-01-16,3,2022
2022-01-23,4,2022
2022-01-30,5,2022
2022-02-06,6,2022
2022-02-13,7,2022
2022-02-20,8,2022
2022-02-27,9,2022
2022-03-06,10,2022
2022-03-13,11,2022
2022-03-20,12,2022
2022-03-27,13,2022
2022-04-03,14,2022
2022-04-10,15,2022
2022-04-17,16,2022
2022-04-24,17,2022
2022-05-01,18,2022
2022-05-08,19,2022
2022-05-15,20,2022
2022-05-22,21,2022
2022-05-29,22,2022
2022-06-05,23,2022
2022-06-12,24,2022
2022-06-19,25,2022
2022-06-26,26,2022
2022-07-03,27,2022
2022-07-10,28,2022
2022-07-17,29,2022
2022-07-24,30,2022
2022-07-31,31,2022
2022-08-07,32,2022
2022-08-14,33,2022
2022-08-21,34,2022
2022-08-28,35,2022
2022-09-04,36,2022
2022-09-11,37,2022
2022-09-18,38,2022
2022-09-25,39,2022
2022-10-02,40,2022
2022-10-09,41,2022
2022-10-16,42,2022
2022-10-23,43,2022
2022-10-30,44,2022
2022-11-06,45,2022
2022-11-13,46,2022
2022-11-20,47,2022
2022-11-27,48,2022
2022-12-04,49,2022
2022-12-11,50,2022
2022-12-18,51,2022
2022-12-25,52,2022
2023-01-01,1,2023
2023-01-08,2,2023
2023-01-15,3,2023
2023-01-22,4,2023
2023-01-29,5,2023
2023-02-05,6,2023
2023-02-12,7,2023
2023-02-19,8,2023
2023-02-26,9,2023
2023-03-05,10,2023
2023-03-12,11,2023
2023-03-19,12,2023
2023-03-26,13,2023
2023-04-02,14,2023
2023-04-09,15,2023
2023-04-16,16,2023
2023-04-23,17,2023
2023-04-30,18,2023
2023-05-07,19,2023
2023-05-14,20,2023
2023-05-21,21,2023
2023-05-28,22,2023
2023-06-04,23,2023
2023-06-11,24,2023
2023-06-18,25,2023
2023-06-25,26,2023
2023-07-02,27,2023
2023-07-09,28,2023
2023-07-16,29,2023
2023-07-23,30,2023
2023-07-30,31,2023
2023-08-06,32,2023
2023-08-13,33,2023
2023-08-20,34,2023
2023-08-27,35,2023
2023-09-03,36,2023
2023-09-10,37,2023
2023-09-17,38,2023
2023-09-24,39,2023
2023-10-01,40,2023
2023-10-08,41,2023
2023-10-15,42,2023
2023-10-22,43,2023
2023-10-29,44,2023
2023-11-05,45,2023
2023-11-12,46,2023
2023-11-19,47,2023
2023-11-26,48,2023
2023-12-03,49,2023
2023-12-10,50,2023
2023-12-17,51,2023
2023-12-24,52,2023
