id,data_source,country,hemisphere,week,year,age_group,hsp_rate,hsp_rate_flu,hsp_rate_rsv,hsp_rate_covid19,cases_rate_flu,cases_rate_rsv,cases_rate_covid19,hsp_abs,hsp_abs_flu,hsp_abs_rsv,hsp_abs_covid,cases_abs_flu,cases_abs_rsv,cases_abs_covid,denominator,subtype_a_abs,subtype_b_abs,subtype_c_abs,subtype_a_rate,subtype_b_rate,subtype_c_rate,start_date
1,AUS DOH,AUS,SH,1,2022,ALL,NA,NA,NA,7.03,NA,NA,NA,NA,NA,NA,1827,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-01-02
2,AUS DOH,AUS,SH,2,2022,ALL,NA,NA,NA,12.79,NA,NA,NA,NA,NA,NA,3323,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-01-09
3,AUS DOH,AUS,SH,3,2022,ALL,NA,NA,NA,18.33,NA,NA,NA,NA,NA,NA,4761,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-01-16
4,AUS DOH,AUS,SH,4,2022,ALL,NA,NA,NA,19.38,NA,NA,NA,NA,NA,NA,5036,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-01-23
5,AUS DOH,AUS,SH,5,2022,ALL,NA,NA,NA,18.44,NA,NA,NA,NA,NA,NA,4790,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-01-30
6,AUS DOH,AUS,SH,6,2022,ALL,NA,NA,NA,15.96,NA,NA,NA,NA,NA,NA,4147,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-02-06
7,AUS DOH,AUS,SH,7,2022,ALL,NA,NA,NA,11.59,NA,NA,NA,NA,NA,NA,3010,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-02-13
8,AUS DOH,AUS,SH,8,2022,ALL,NA,NA,NA,9.21,NA,NA,NA,NA,NA,NA,2392,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-02-20
9,AUS DOH,AUS,SH,9,2022,ALL,NA,NA,NA,7.68,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-02-27
10,AUS DOH,AUS,SH,10,2022,ALL,NA,NA,NA,6.69,NA,NA,NA,NA,NA,NA,1737,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-03-06
11,AUS DOH,AUS,SH,11,2022,ALL,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,1702,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-03-13
12,AUS DOH,AUS,SH,12,2022,ALL,NA,NA,NA,7.48,NA,NA,NA,NA,NA,NA,1943,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-03-20
13,AUS DOH,AUS,SH,13,2022,ALL,NA,NA,NA,8.38,NA,NA,NA,NA,NA,NA,2176,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-03-27
14,AUS DOH,AUS,SH,14,2022,ALL,NA,NA,NA,9.93,NA,NA,NA,NA,NA,NA,2581,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-04-03
15,AUS DOH,AUS,SH,15,2022,ALL,NA,NA,NA,11.32,NA,NA,NA,NA,NA,NA,2941,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-04-10
16,AUS DOH,AUS,SH,16,2022,ALL,NA,NA,NA,11.81,NA,NA,NA,NA,NA,NA,3069,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-04-17
17,AUS DOH,AUS,SH,17,2022,ALL,NA,NA,NA,12.13,NA,NA,NA,NA,NA,NA,3152,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-04-24
18,AUS DOH,AUS,SH,18,2022,ALL,NA,NA,NA,11.93,NA,NA,NA,NA,NA,NA,3099,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-05-01
19,AUS DOH,AUS,SH,19,2022,ALL,NA,NA,NA,11.83,NA,NA,NA,NA,NA,NA,3073,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-05-08
20,AUS DOH,AUS,SH,20,2022,ALL,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,2988,NA,NA,NA,25978935,NA,NA,NA,NA,NA,NA,2022-05-15
