id,data_source,country,hemisphere,week,year,age_group,hsp_rate,hsp_rate_flu,hsp_rate_rsv,hsp_rate_covid19,cases_rate_flu,cases_rate_rsv,cases_rate_covid19,hsp_abs,hsp_abs_flu,hsp_abs_rsv,hsp_abs_covid,cases_abs_flu,cases_abs_rsv,cases_abs_covid,denominator,subtype_a_abs,subtype_b_abs,subtype_c_abs,subtype_a_rate,subtype_b_rate,subtype_c_rate,start_date
1,EPI MINSAL - FluNet (Flu cases),CL,SH,1,2016,ALL,0.01,0.01,0,0,0.02,NA,NA,1,1,0,0,3,NA,NA,18167147,NA,NA,NA,NA,NA,NA,2016-01-03
2,fluNet,AUS,SH,1,2016,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24103400,27,NA,NA,0.11,NA,NA,2016-01-03
3,FluNet - Non Sentinel,FR,NH,1,2016,ALL,NA,0.11,1,NA,NA,NA,NA,NA,75,666,NA,NA,NA,NA,66688564,30,45,NA,0.04,0.07,NA,2016-01-03
4,FluNet - Sentinel,FR,NH,1,2016,ALL,NA,0.02,0.02,NA,NA,NA,NA,NA,15,12,NA,NA,NA,NA,66688564,5,10,NA,0.01,0.01,NA,2016-01-03
5,WHO FluNET/FluID+RKI,DE,NH,1,2016,A00-04,NA,NA,NA,NA,2.16,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
6,WHO FluNET/FluID+RKI,DE,NH,1,2016,A05-09,NA,NA,NA,NA,0.89,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
7,WHO FluNET/FluID+RKI,DE,NH,1,2016,A10-14,NA,NA,NA,NA,0.24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
8,WHO FluNET/FluID+RKI,DE,NH,1,2016,A15-19,NA,NA,NA,NA,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
9,WHO FluNET/FluID+RKI,DE,NH,1,2016,A20-24,NA,NA,NA,NA,0.39,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
10,WHO FluNET/FluID+RKI,DE,NH,1,2016,A25-29,NA,NA,NA,NA,0.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
11,WHO FluNET/FluID+RKI,DE,NH,1,2016,A30-34,NA,NA,NA,NA,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
12,WHO FluNET/FluID+RKI,DE,NH,1,2016,A35-39,NA,NA,NA,NA,0.51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
13,WHO FluNET/FluID+RKI,DE,NH,1,2016,A40-44,NA,NA,NA,NA,0.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
14,WHO FluNET/FluID+RKI,DE,NH,1,2016,A45-49,NA,NA,NA,NA,0.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
15,WHO FluNET/FluID+RKI,DE,NH,1,2016,A50-54,NA,NA,NA,NA,0.23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
16,WHO FluNET/FluID+RKI,DE,NH,1,2016,A55-59,NA,NA,NA,NA,0.26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
17,WHO FluNET/FluID+RKI,DE,NH,1,2016,A60-64,NA,NA,NA,NA,0.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
18,WHO FluNET/FluID+RKI,DE,NH,1,2016,A65-69,NA,NA,NA,NA,0.18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
19,WHO FluNET/FluID+RKI,DE,NH,1,2016,A70-74,NA,NA,NA,NA,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-03
