id,data_source,country,hemisphere,week,year,age_group,hsp_rate,hsp_rate_flu,hsp_rate_rsv,hsp_rate_covid19,cases_rate_flu,cases_rate_rsv,cases_rate_covid19,hsp_abs,hsp_abs_flu,hsp_abs_rsv,hsp_abs_covid,cases_abs_flu,cases_abs_rsv,cases_abs_covid,denominator,subtype_a_abs,subtype_b_abs,subtype_c_abs,subtype_a_rate,subtype_b_rate,subtype_c_rate
8,EPI MINSAL - Ministry of Science,chi,sh,1,2022,0-5,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
9,EPI MINSAL - Ministry of Science,chi,sh,1,2022,May-17,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
10,EPI MINSAL - Ministry of Science,chi,sh,1,2022,18-49,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
11,EPI MINSAL - Ministry of Science,chi,sh,1,2022,50-59,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
12,EPI MINSAL - Ministry of Science,chi,sh,1,2022,60-69,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
13,EPI MINSAL - Ministry of Science,chi,sh,1,2022,70-79,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
14,EPI MINSAL - Ministry of Science,chi,sh,1,2022,80+,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
15,EPI MINSAL - Ministry of Science,chi,sh,2,2022,0-5,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
16,EPI MINSAL - Ministry of Science,chi,sh,2,2022,May-17,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
17,EPI MINSAL - Ministry of Science,chi,sh,2,2022,18-49,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
18,EPI MINSAL - Ministry of Science,chi,sh,2,2022,50-59,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
19,EPI MINSAL - Ministry of Science,chi,sh,2,2022,60-69,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
20,EPI MINSAL - Ministry of Science,chi,sh,2,2022,70-79,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
21,EPI MINSAL - Ministry of Science,chi,sh,2,2022,80+,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
22,EPI MINSAL - Ministry of Science,chi,sh,3,2022,0-5,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
23,EPI MINSAL - Ministry of Science,chi,sh,3,2022,May-17,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
24,EPI MINSAL - Ministry of Science,chi,sh,3,2022,18-49,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,475,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
25,EPI MINSAL - Ministry of Science,chi,sh,3,2022,50-59,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,171,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
26,EPI MINSAL - Ministry of Science,chi,sh,3,2022,60-69,NA,NA,NA,1.09,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
27,EPI MINSAL - Ministry of Science,chi,sh,3,2022,70-79,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
28,EPI MINSAL - Ministry of Science,chi,sh,3,2022,80+,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
29,EPI MINSAL - Ministry of Science,chi,sh,4,2022,0-5,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
30,EPI MINSAL - Ministry of Science,chi,sh,4,2022,May-17,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
31,EPI MINSAL - Ministry of Science,chi,sh,4,2022,18-49,NA,NA,NA,3.67,NA,NA,NA,NA,NA,NA,727,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
32,EPI MINSAL - Ministry of Science,chi,sh,4,2022,50-59,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
33,EPI MINSAL - Ministry of Science,chi,sh,4,2022,60-69,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,253,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
34,EPI MINSAL - Ministry of Science,chi,sh,4,2022,70-79,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,304,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
35,EPI MINSAL - Ministry of Science,chi,sh,4,2022,80+,NA,NA,NA,1.65,NA,NA,NA,NA,NA,NA,328,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
36,EPI MINSAL - Ministry of Science,chi,sh,5,2022,0-5,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,189,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
37,EPI MINSAL - Ministry of Science,chi,sh,5,2022,May-17,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
38,EPI MINSAL - Ministry of Science,chi,sh,5,2022,18-49,NA,NA,NA,5.31,NA,NA,NA,NA,NA,NA,1052,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
39,EPI MINSAL - Ministry of Science,chi,sh,5,2022,50-59,NA,NA,NA,1.86,NA,NA,NA,NA,NA,NA,369,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
40,EPI MINSAL - Ministry of Science,chi,sh,5,2022,60-69,NA,NA,NA,2.53,NA,NA,NA,NA,NA,NA,502,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
41,EPI MINSAL - Ministry of Science,chi,sh,5,2022,70-79,NA,NA,NA,2.78,NA,NA,NA,NA,NA,NA,551,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
42,EPI MINSAL - Ministry of Science,chi,sh,5,2022,80+,NA,NA,NA,2.85,NA,NA,NA,NA,NA,NA,565,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
43,EPI MINSAL - Ministry of Science,chi,sh,6,2022,0-5,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,202,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
44,EPI MINSAL - Ministry of Science,chi,sh,6,2022,May-17,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
45,EPI MINSAL - Ministry of Science,chi,sh,6,2022,18-49,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1189,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
46,EPI MINSAL - Ministry of Science,chi,sh,6,2022,50-59,NA,NA,NA,2.18,NA,NA,NA,NA,NA,NA,433,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
47,EPI MINSAL - Ministry of Science,chi,sh,6,2022,60-69,NA,NA,NA,3.33,NA,NA,NA,NA,NA,NA,660,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
48,EPI MINSAL - Ministry of Science,chi,sh,6,2022,70-79,NA,NA,NA,4.12,NA,NA,NA,NA,NA,NA,817,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
49,EPI MINSAL - Ministry of Science,chi,sh,6,2022,80+,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,774,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
50,EPI MINSAL - Ministry of Science,chi,sh,7,2022,0-5,NA,NA,NA,1.04,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,19828563,NA,NA,NA,NA,NA,NA
