id,data_source,country,hemisphere,week,year,age_group,hsp_rate,hsp_rate_flu,hsp_rate_rsv,hsp_rate_covid19,cases_rate_flu,cases_rate_rsv,cases_rate_covid19,hsp_abs,hsp_abs_flu,hsp_abs_rsv,hsp_abs_covid,cases_abs_flu,cases_abs_rsv,cases_abs_covid19,denominator,subtype_a_abs,subtype_b_abs,subtype_c_abs,subtype_a_rate,subtype_b_rate,subtype_c_rate
1,EPI MINSAL,CL,SH,1,2016,ALL,0.18,0.18,0,0,NA,NA,NA,1,1,0,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
2,EPI MINSAL,CL,SH,2,2016,ALL,0.37,0.18,0.18,0,NA,NA,NA,2,1,1,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
3,EPI MINSAL,CL,SH,3,2016,ALL,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
4,EPI MINSAL,CL,SH,4,2016,ALL,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
5,EPI MINSAL,CL,SH,5,2016,ALL,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
6,EPI MINSAL,CL,SH,6,2016,ALL,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
7,EPI MINSAL,CL,SH,7,2016,ALL,0.73,0.55,0.18,0,NA,NA,NA,4,3,1,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
8,EPI MINSAL,CL,SH,8,2016,ALL,0.18,0,0.18,0,NA,NA,NA,1,0,1,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
9,EPI MINSAL,CL,SH,9,2016,ALL,0.37,0.18,0.18,0,NA,NA,NA,2,1,1,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
10,EPI MINSAL,CL,SH,10,2016,ALL,0.18,0,0.18,0,NA,NA,NA,1,0,1,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
11,EPI MINSAL,CL,SH,11,2016,ALL,0.37,0.18,0.18,0,NA,NA,NA,2,1,1,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
12,EPI MINSAL,CL,SH,12,2016,ALL,0.55,0.37,0.18,0,NA,NA,NA,3,2,1,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
13,EPI MINSAL,CL,SH,13,2016,ALL,0.92,0.37,0.55,0,NA,NA,NA,5,2,3,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
14,EPI MINSAL,CL,SH,14,2016,ALL,0.73,0.37,0.37,0,NA,NA,NA,4,2,2,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
15,EPI MINSAL,CL,SH,15,2016,ALL,0.37,0,0.37,0,NA,NA,NA,2,0,2,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
16,EPI MINSAL,CL,SH,16,2016,ALL,1.1,0.73,0.37,0,NA,NA,NA,6,4,2,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
17,EPI MINSAL,CL,SH,17,2016,ALL,2.57,1.28,1.28,0,NA,NA,NA,14,7,7,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
18,EPI MINSAL,CL,SH,18,2016,ALL,1.83,0.18,1.65,0,NA,NA,NA,10,1,9,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
19,EPI MINSAL,CL,SH,19,2016,ALL,2.39,1.28,1.1,0,NA,NA,NA,13,7,6,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
20,EPI MINSAL,CL,SH,20,2016,ALL,4.04,1.65,2.39,0,NA,NA,NA,22,9,13,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
21,EPI MINSAL,CL,SH,21,2016,ALL,8.07,1.28,6.79,0,NA,NA,NA,44,7,37,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
22,EPI MINSAL,CL,SH,22,2016,ALL,8.81,1.28,7.52,0,NA,NA,NA,48,7,41,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
23,EPI MINSAL,CL,SH,23,2016,ALL,14.5,3.67,10.83,0,NA,NA,NA,79,20,59,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
24,EPI MINSAL,CL,SH,24,2016,ALL,12.66,2.75,9.91,0,NA,NA,NA,69,15,54,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
25,EPI MINSAL,CL,SH,25,2016,ALL,13.58,2.94,10.64,0,NA,NA,NA,74,16,58,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
26,EPI MINSAL,CL,SH,26,2016,ALL,22.57,6.61,15.96,0,NA,NA,NA,123,36,87,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
27,EPI MINSAL,CL,SH,27,2016,ALL,24.4,8.62,15.78,0,NA,NA,NA,133,47,86,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
28,EPI MINSAL,CL,SH,28,2016,ALL,30.27,15.05,15.23,0,NA,NA,NA,165,82,83,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
29,EPI MINSAL,CL,SH,29,2016,ALL,28.26,14.13,14.13,0,NA,NA,NA,154,77,77,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
30,EPI MINSAL,CL,SH,30,2016,ALL,19.45,10.09,9.36,0,NA,NA,NA,106,55,51,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
31,EPI MINSAL,CL,SH,31,2016,ALL,18.9,10.46,8.44,0,NA,NA,NA,103,57,46,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
32,EPI MINSAL,CL,SH,32,2016,ALL,23.85,16.15,7.71,0,NA,NA,NA,130,88,42,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
33,EPI MINSAL,CL,SH,33,2016,ALL,19.63,14.13,5.5,0,NA,NA,NA,107,77,30,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
34,EPI MINSAL,CL,SH,34,2016,ALL,14.86,10.83,4.04,0,NA,NA,NA,81,59,22,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
35,EPI MINSAL,CL,SH,35,2016,ALL,15.78,12.29,3.49,0,NA,NA,NA,86,67,19,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
36,EPI MINSAL,CL,SH,36,2016,ALL,12.48,8.81,3.67,0,NA,NA,NA,68,48,20,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
37,EPI MINSAL,CL,SH,37,2016,ALL,8.26,6.79,1.47,0,NA,NA,NA,45,37,8,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
38,EPI MINSAL,CL,SH,38,2016,ALL,10.09,8.44,1.65,0,NA,NA,NA,55,46,9,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
39,EPI MINSAL,CL,SH,39,2016,ALL,5.87,4.4,1.47,0,NA,NA,NA,32,24,8,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
40,EPI MINSAL,CL,SH,40,2016,ALL,3.49,3.49,0,0,NA,NA,NA,19,19,0,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
41,EPI MINSAL,CL,SH,41,2016,ALL,2.02,1.65,0.37,0,NA,NA,NA,11,9,2,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
42,EPI MINSAL,CL,SH,42,2016,ALL,2.94,2.94,0,0,NA,NA,NA,16,16,0,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
43,EPI MINSAL,CL,SH,43,2016,ALL,1.83,1.1,0.73,0,NA,NA,NA,10,6,4,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
44,EPI MINSAL,CL,SH,44,2016,ALL,2.39,2.02,0.37,0,NA,NA,NA,13,11,2,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
45,EPI MINSAL,CL,SH,45,2016,ALL,0.73,0.37,0.37,0,NA,NA,NA,4,2,2,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
46,EPI MINSAL,CL,SH,46,2016,ALL,1.28,0.73,0.55,0,NA,NA,NA,7,4,3,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
47,EPI MINSAL,CL,SH,47,2016,ALL,1.1,0.92,0.18,0,NA,NA,NA,6,5,1,0,NA,NA,NA,18167147,NA,NA,NA,NA,NA,NA
