data_source,country,hemisphere,week,year,age_group,hsp_rate,hsp_rate_flu,hsp_rate_rsv,hsp_rate_covid19,cases_rate_flu,cases_rate_rsv,cases_rate_covid19,hsp_abs,hsp_abs_flu,hsp_abs_rsv,hsp_abs_covid,cases_abs_flu,cases_abs_rsv,cases_abs_covid,denominator,subtype_a_abs,subtype_b_abs,subtype_c_abs,subtype_a_rate,subtype_b_rate,subtype_c_rate
FluNet - Non Sentinel,FR,NH,1,2016,ALL,NA,0.11,0.11,NA,NA,NA,NA,NA,75,666,NA,NA,NA,NA,66688564,30,45,NA,0.04,0.07,NA
FluNet - Sentinel,FR,NH,1,2016,ALL,NA,0.75,0.6,NA,NA,NA,NA,NA,15,12,NA,NA,NA,NA,66688564,5,10,NA,0.25,0.5,NA
FluNet - Sentinel,FR,NH,2,2016,ALL,NA,1.2,0.45,NA,NA,NA,NA,NA,24,9,NA,NA,NA,NA,66688564,11,13,NA,0.55,0.65,NA
FluNet - Non Sentinel,FR,NH,2,2016,ALL,NA,0.16,0.16,NA,NA,NA,NA,NA,108,427,NA,NA,NA,NA,66688564,56,52,NA,0.08,0.08,NA
FluNet - Sentinel,FR,NH,3,2016,ALL,NA,3.2,0.55,NA,NA,NA,NA,NA,64,11,NA,NA,NA,NA,66688564,28,36,NA,1.4,1.8,NA
FluNet - Non Sentinel,FR,NH,3,2016,ALL,NA,0.34,0.34,NA,NA,NA,NA,NA,226,354,NA,NA,NA,NA,66688564,119,107,NA,0.18,0.16,NA
FluNet - Non Sentinel,FR,NH,4,2016,ALL,NA,0.69,0.69,NA,NA,NA,NA,NA,463,320,NA,NA,NA,NA,66688564,199,264,NA,0.3,0.4,NA
FluNet - Sentinel,FR,NH,4,2016,ALL,NA,6.1,0.55,NA,NA,NA,NA,NA,122,11,NA,NA,NA,NA,66688564,37,85,NA,1.85,4.25,NA
FluNet - Sentinel,FR,NH,5,2016,ALL,NA,8.7,0.35,NA,NA,NA,NA,NA,174,7,NA,NA,NA,NA,66688564,48,126,NA,2.4,6.3,NA
FluNet - Non Sentinel,FR,NH,5,2016,ALL,NA,0.98,0.98,NA,NA,NA,NA,NA,655,293,NA,NA,NA,NA,66688564,246,409,NA,0.37,0.61,NA
FluNet - Non Sentinel,FR,NH,6,2016,ALL,NA,1.24,1.24,NA,NA,NA,NA,NA,827,229,NA,NA,NA,NA,66688564,260,567,NA,0.39,0.85,NA
FluNet - Sentinel,FR,NH,6,2016,ALL,NA,9.2,0.4,NA,NA,NA,NA,NA,184,8,NA,NA,NA,NA,66688564,52,132,NA,2.6,6.6,NA
FluNet - Sentinel,FR,NH,7,2016,ALL,NA,10.1,0.2,NA,NA,NA,NA,NA,202,4,NA,NA,NA,NA,66688564,54,148,NA,2.7,7.4,NA
FluNet - Non Sentinel,FR,NH,7,2016,ALL,NA,1.51,1.51,NA,NA,NA,NA,NA,1006,133,NA,NA,NA,NA,66688564,323,683,NA,0.48,1.02,NA
FluNet - Sentinel,FR,NH,8,2016,ALL,NA,9.65,0.05,NA,NA,NA,NA,NA,193,1,NA,NA,NA,NA,66688564,53,140,NA,2.65,7,NA
FluNet - Non Sentinel,FR,NH,8,2016,ALL,NA,1.93,1.93,NA,NA,NA,NA,NA,1285,120,NA,NA,NA,NA,66688564,406,879,NA,0.61,1.32,NA
FluNet - Non Sentinel,FR,NH,9,2016,ALL,NA,1.74,1.74,NA,NA,NA,NA,NA,1159,100,NA,NA,NA,NA,66688564,382,777,NA,0.57,1.17,NA
FluNet - Sentinel,FR,NH,9,2016,ALL,NA,10.95,0.1,NA,NA,NA,NA,NA,219,2,NA,NA,NA,NA,66688564,50,169,NA,2.5,8.45,NA
FluNet - Sentinel,FR,NH,10,2016,ALL,NA,12.75,0.2,NA,NA,NA,NA,NA,255,4,NA,NA,NA,NA,66688564,62,193,NA,3.1,9.65,NA
FluNet - Non Sentinel,FR,NH,10,2016,ALL,NA,1.88,1.88,NA,NA,NA,NA,NA,1251,69,NA,NA,NA,NA,66688564,392,859,NA,0.59,1.29,NA
FluNet - Non Sentinel,FR,NH,11,2016,ALL,NA,2.03,2.03,NA,NA,NA,NA,NA,1354,74,NA,NA,NA,NA,66688564,450,904,NA,0.67,1.36,NA
FluNet - Sentinel,FR,NH,11,2016,ALL,NA,11,0.05,NA,NA,NA,NA,NA,220,1,NA,NA,NA,NA,66688564,51,169,NA,2.55,8.45,NA
FluNet - Sentinel,FR,NH,12,2016,ALL,NA,8.7,0,NA,NA,NA,NA,NA,174,0,NA,NA,NA,NA,66688564,47,127,NA,2.35,6.35,NA
