data_source,country,hemisphere,week,year,age_group,hsp_rate,hsp_rate_flu,hsp_rate_rsv,hsp_rate_covid19,cases_rate_flu,cases_rate_rsv,cases_rate_covid19,hsp_abs,hsp_abs_flu,hsp_abs_rsv,hsp_abs_covid,cases_abs_flu,cases_abs_rsv,cases_abs_covid,denominator,subtype_a_abs,subtype_b_abs,subtype_c_abs,subtype_a_rate,subtype_b_rate,subtype_c_rate
fluNet,AUS,NH,1,2016,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24103400,27,NA,NA,0.11,NA,NA
fluNet,AUS,NH,2,2016,ALL,NA,0.08,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,24103400,17,2,NA,0.07,0.01,NA
fluNet,AUS,NH,3,2016,ALL,NA,0.05,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,24103400,11,1,NA,0.05,0,NA
fluNet,AUS,NH,4,2016,ALL,NA,0.07,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,24103400,16,1,NA,0.07,0,NA
fluNet,AUS,NH,5,2016,ALL,NA,0.09,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,24103400,21,2,NA,0.09,0.01,NA
fluNet,AUS,NH,6,2016,ALL,NA,0.12,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,24103400,22,8,NA,0.09,0.03,NA
fluNet,AUS,NH,7,2016,ALL,NA,0.07,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,24103400,16,3,NA,0.07,0.01,NA
fluNet,AUS,NH,8,2016,ALL,NA,0.1,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,24103400,24,3,NA,0.1,0.01,NA
fluNet,AUS,NH,9,2016,ALL,NA,0.12,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,24103400,21,8,NA,0.09,0.03,NA
fluNet,AUS,NH,10,2016,ALL,NA,0.11,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,24103400,22,4,NA,0.09,0.02,NA
fluNet,AUS,NH,11,2016,ALL,NA,0.09,0,NA,NA,NA,NA,NA,21,1,NA,NA,NA,NA,24103400,16,6,NA,0.07,0.02,NA
fluNet,AUS,NH,12,2016,ALL,NA,0.12,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,24103400,21,7,NA,0.09,0.03,NA
fluNet,AUS,NH,13,2016,ALL,NA,0.05,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,24103400,7,5,NA,0.03,0.02,NA
fluNet,AUS,NH,14,2016,ALL,NA,0.08,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,24103400,14,6,NA,0.06,0.02,NA
fluNet,AUS,NH,15,2016,ALL,NA,0.09,0,NA,NA,NA,NA,NA,22,1,NA,NA,NA,NA,24103400,15,8,NA,0.06,0.03,NA
fluNet,AUS,NH,16,2016,ALL,NA,0.05,0,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,24103400,8,4,NA,0.03,0.02,NA
fluNet,AUS,NH,17,2016,ALL,NA,0.04,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,24103400,6,5,NA,0.02,0.02,NA
fluNet,AUS,NH,18,2016,ALL,NA,0.07,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,24103400,14,5,NA,0.06,0.02,NA
fluNet,AUS,NH,19,2016,ALL,NA,0.12,0,NA,NA,NA,NA,NA,30,1,NA,NA,NA,NA,24103400,19,12,NA,0.08,0.05,NA
fluNet,AUS,NH,20,2016,ALL,NA,0.18,0,NA,NA,NA,NA,NA,44,1,NA,NA,NA,NA,24103400,30,14,NA,0.12,0.06,NA
fluNet,AUS,NH,21,2016,ALL,NA,0.14,0.17,NA,NA,NA,NA,NA,33,42,NA,NA,NA,NA,24103400,26,7,NA,0.11,0.03,NA
fluNet,AUS,NH,22,2016,ALL,NA,0.19,0,NA,NA,NA,NA,NA,46,1,NA,NA,NA,NA,24103400,35,12,NA,0.15,0.05,NA
fluNet,AUS,NH,23,2016,ALL,NA,0.18,0.13,NA,NA,NA,NA,NA,43,32,NA,NA,NA,NA,24103400,39,9,NA,0.16,0.04,NA
fluNet,AUS,NH,24,2016,ALL,NA,0.25,0.16,NA,NA,NA,NA,NA,60,39,NA,NA,NA,NA,24103400,52,12,NA,0.22,0.05,NA
fluNet,AUS,NH,25,2016,ALL,NA,0.32,0.19,NA,NA,NA,NA,NA,77,47,NA,NA,NA,NA,24103400,63,14,NA,0.26,0.06,NA
fluNet,AUS,NH,26,2016,ALL,NA,0.48,0.17,NA,NA,NA,NA,NA,115,41,NA,NA,NA,NA,24103400,92,24,NA,0.38,0.1,NA
fluNet,AUS,NH,27,2016,ALL,NA,0.55,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,24103400,99,33,NA,0.41,0.14,NA
fluNet,AUS,NH,28,2016,ALL,NA,0.71,0.28,NA,NA,NA,NA,NA,172,67,NA,NA,NA,NA,24103400,121,55,NA,0.5,0.23,NA
fluNet,AUS,NH,29,2016,ALL,NA,1.14,0.26,NA,NA,NA,NA,NA,274,62,NA,NA,NA,NA,24103400,239,41,NA,0.99,0.17,NA
fluNet,AUS,NH,30,2016,ALL,NA,1.19,0.22,NA,NA,NA,NA,NA,288,54,NA,NA,NA,NA,24103400,243,54,NA,1.01,0.22,NA
fluNet,AUS,NH,31,2016,ALL,NA,1.46,0.2,NA,NA,NA,NA,NA,351,48,NA,NA,NA,NA,24103400,284,67,NA,1.18,0.28,NA
fluNet,AUS,NH,32,2016,ALL,NA,1.8,0.14,NA,NA,NA,NA,NA,433,34,NA,NA,NA,NA,24103400,342,91,NA,1.42,0.38,NA
fluNet,AUS,NH,33,2016,ALL,NA,2.36,0.17,NA,NA,NA,NA,NA,569,40,NA,NA,NA,NA,24103400,488,81,NA,2.02,0.34,NA
fluNet,AUS,NH,34,2016,ALL,NA,2.25,0.1,NA,NA,NA,NA,NA,543,24,NA,NA,NA,NA,24103400,479,75,NA,1.99,0.31,NA
fluNet,AUS,NH,35,2016,ALL,NA,2.53,0.11,NA,NA,NA,NA,NA,611,26,NA,NA,NA,NA,24103400,541,70,NA,2.24,0.29,NA
fluNet,AUS,NH,36,2016,ALL,NA,2.41,0.1,NA,NA,NA,NA,NA,580,25,NA,NA,NA,NA,24103400,539,63,NA,2.24,0.26,NA
fluNet,AUS,NH,37,2016,ALL,NA,1.74,0.12,NA,NA,NA,NA,NA,419,28,NA,NA,NA,NA,24103400,372,61,NA,1.54,0.25,NA
fluNet,AUS,NH,38,2016,ALL,NA,1.57,0.1,NA,NA,NA,NA,NA,379,25,NA,NA,NA,NA,24103400,317,62,NA,1.32,0.26,NA
fluNet,AUS,NH,39,2016,ALL,NA,1.12,0.07,NA,NA,NA,NA,NA,271,16,NA,NA,NA,NA,24103400,236,37,NA,0.98,0.15,NA
fluNet,AUS,NH,40,2016,ALL,NA,0.93,0.07,NA,NA,NA,NA,NA,223,17,NA,NA,NA,NA,24103400,185,41,NA,0.77,0.17,NA
fluNet,AUS,NH,41,2016,ALL,NA,0.63,0.09,NA,NA,NA,NA,NA,153,21,NA,NA,NA,NA,24103400,128,27,NA,0.53,0.11,NA
fluNet,AUS,NH,42,2016,ALL,NA,0.34,0.02,NA,NA,NA,NA,NA,82,6,NA,NA,NA,NA,24103400,65,17,NA,0.27,0.07,NA
fluNet,AUS,NH,43,2016,ALL,NA,0.25,0.03,NA,NA,NA,NA,NA,60,7,NA,NA,NA,NA,24103400,46,15,NA,0.19,0.06,NA
fluNet,AUS,NH,44,2016,ALL,NA,0.24,0.02,NA,NA,NA,NA,NA,59,6,NA,NA,NA,NA,24103400,48,12,NA,0.2,0.05,NA
