,Week,Start date,Year,Count
0,1,2022-01-02,2022,1827
1,2,2022-01-09,2022,3323
2,3,2022-01-16,2022,4761
3,4,2022-01-23,2022,5036
4,5,2022-01-30,2022,4790
5,6,2022-02-06,2022,4147
6,7,2022-02-13,2022,3010
7,8,2022-02-20,2022,2392
8,9,2022-02-27,2022,1995
9,10,2022-03-06,2022,1737
10,11,2022-03-13,2022,1702
11,12,2022-03-20,2022,1943
12,13,2022-03-27,2022,2176
13,14,2022-04-03,2022,2581
14,15,2022-04-10,2022,2941
15,16,2022-04-17,2022,3069
16,17,2022-04-24,2022,3152
17,18,2022-05-01,2022,3099
18,19,2022-05-08,2022,3073
19,20,2022-05-15,2022,2988
20,21,2022-05-22,2022,2844
21,22,2022-05-29,2022,2712
22,23,2022-06-05,2022,2689
23,24,2022-06-12,2022,2682
24,25,2022-06-19,2022,2905
25,26,2022-06-26,2022,3118
26,27,2022-07-03,2022,3415
27,28,2022-07-10,2022,4094
28,29,2022-07-17,2022,4719
29,30,2022-07-24,2022,5362
30,31,2022-07-31,2022,4925
31,32,2022-08-07,2022,4431
32,33,2022-08-14,2022,3991
33,34,2022-08-21,2022,3433
34,35,2022-08-28,2022,3010
35,36,2022-09-04,2022,2701
36,37,2022-09-11,2022,2332
37,38,2022-09-18,2022,1963
38,39,2022-09-25,2022,1763
39,40,2022-10-02,2022,1563
40,41,2022-10-09,2022,1465
41,42,2022-10-16,2022,1425
42,43,2022-10-23,2022,1433
43,44,2022-10-30,2022,1338
44,45,2022-11-06,2022,1395
45,46,2022-11-13,2022,1786
46,47,2022-11-20,2022,2116
47,48,2022-11-27,2022,2471
48,49,2022-12-04,2022,2582
49,50,2022-12-12,2022,3026
50,51,2022-12-18,2022,3361
51,52,2022-12-25,2022,3377
52,1,2023-01-01,2023, 3593
