data_source,country,hemisphere,week,year,denominator,hsp_rate_flu,hsp_rate_rsv,hsp_abs_flu,hsp_abs_rsv,subtype_a_abs,subtype_b_abs
fluNet,Australia,SH,1,2016,24103400,NA,NA,NA,NA,27,NA
fluNet,Australia,SH,2,2016,24103400,0.07882705344474224,NA,19,NA,17,2
fluNet,Australia,SH,3,2016,24103400,0.04978550743878457,NA,12,NA,11,1
fluNet,Australia,SH,4,2016,24103400,0.07052946887161148,NA,17,NA,16,1
fluNet,Australia,SH,5,2016,24103400,0.09127343030443838,NA,22,NA,21,2
fluNet,Australia,SH,6,2016,24103400,0.12031497631039603,NA,29,NA,22,8
fluNet,Australia,SH,7,2016,24103400,0.07467826115817686,NA,18,NA,16,3
fluNet,Australia,SH,8,2016,24103400,0.10371980716413452,NA,25,NA,24,3
fluNet,Australia,SH,9,2016,24103400,0.12031497631039603,NA,29,NA,21,8
fluNet,Australia,SH,10,2016,24103400,0.10786859945069989,NA,26,NA,22,4
fluNet,Australia,SH,11,2016,24103400,0.087124638017873,0.004148792286565381,21,1,16,6
fluNet,Australia,SH,12,2016,24103400,0.11616618402383067,NA,28,NA,21,7
fluNet,Australia,SH,13,2016,24103400,0.04978550743878457,NA,12,NA,7,5
fluNet,Australia,SH,14,2016,24103400,0.08297584573130762,NA,20,NA,14,6
fluNet,Australia,SH,15,2016,24103400,0.09127343030443838,0.004148792286565381,22,1,15,8
fluNet,Australia,SH,16,2016,24103400,0.04978550743878457,0.004148792286565381,12,1,8,4
fluNet,Australia,SH,17,2016,24103400,0.04148792286565381,NA,10,NA,6,5
fluNet,Australia,SH,18,2016,24103400,0.07052946887161148,NA,17,NA,14,5
fluNet,Australia,SH,19,2016,24103400,0.12446376859696143,0.004148792286565381,30,1,19,12
fluNet,Australia,SH,20,2016,24103400,0.18254686060887676,0.004148792286565381,44,1,30,14
fluNet,Australia,SH,21,2016,24103400,0.13691014545665756,0.174249276035746,33,42,26,7
fluNet,Australia,SH,22,2016,24103400,0.1908444451820075,0.004148792286565381,46,1,35,12
fluNet,Australia,SH,23,2016,24103400,0.17839806832231137,0.1327613531700922,43,32,39,9
fluNet,Australia,SH,24,2016,24103400,0.24892753719392285,0.16180289917604987,60,39,52,12
fluNet,Australia,SH,25,2016,24103400,0.3194570060655343,0.19499323746857292,77,47,63,14
fluNet,Australia,SH,26,2016,24103400,0.4771111129550188,0.1701004837491806,115,41,92,24
fluNet,Australia,SH,27,2016,24103400,0.5476405818266302,NA,132,NA,99,33
fluNet,Australia,SH,28,2016,24103400,0.7135922732892455,0.2779690831998805,172,67,121,55
fluNet,Australia,SH,29,2016,24103400,1.1367690865189144,0.2572251217670536,274,62,239,41
fluNet,Australia,SH,30,2016,24103400,1.1948521785308297,0.22403478347453057,288,54,243,54
fluNet,Australia,SH,31,2016,24103400,1.4562260925844486,0.19914202975513828,351,48,284,67
fluNet,Australia,SH,32,2016,24103400,1.7964270600828098,0.14105893774322295,433,34,342,91
fluNet,Australia,SH,33,2016,24103400,2.3606628110557017,0.16595169146261524,569,40,488,81
fluNet,Australia,SH,34,2016,24103400,2.2527942116050017,0.09957101487756914,543,24,479,75
fluNet,Australia,SH,35,2016,24103400,2.5349120870914477,0.10786859945069989,611,26,541,70
fluNet,Australia,SH,36,2016,24103400,2.406299526207921,0.10371980716413452,580,25,539,63
fluNet,Australia,SH,37,2016,24103400,1.7383439680708945,0.11616618402383067,419,28,372,61
fluNet,Australia,SH,38,2016,24103400,1.5723922766082792,0.10371980716413452,379,25,317,62
fluNet,Australia,SH,39,2016,24103400,1.124322709659218,0.0663806765850461,271,16,236,37
fluNet,Australia,SH,40,2016,24103400,0.9251806799040799,0.07052946887161148,223,17,185,41
fluNet,Australia,SH,41,2016,24103400,0.6347652198445033,0.087124638017873,153,21,128,27
fluNet,Australia,SH,42,2016,24103400,0.3402009674983612,0.024892753719392285,82,6,65,17
fluNet,Australia,SH,43,2016,24103400,0.24892753719392285,0.029041546005957666,60,7,46,15
fluNet,Australia,SH,44,2016,24103400,0.2447787449073575,0.024892753719392285,59,6,48,12
fluNet,Australia,SH,45,2016,24103400,0.14105893774322295,0.062231884298480714,34,15,20,14
fluNet,Australia,SH,46,2016,24103400,0.10371980716413452,0.020743961432826905,25,5,22,4
fluNet,Australia,SH,47,2016,24103400,0.1327613531700922,0.029041546005957666,32,7,27,5
