data_source,country,hemisphere,week,year,age_group,cases_flu,denominator
FLuNet,chi,sh,1,2016,ALL,3,18167147
FLuNet,chi,sh,2,2016,ALL,4,18167147
FLuNet,chi,sh,3,2016,ALL,4,18167147
FLuNet,chi,sh,4,2016,ALL,3,18167147
FLuNet,chi,sh,5,2016,ALL,2,18167147
FLuNet,chi,sh,6,2016,ALL,3,18167147
FLuNet,chi,sh,7,2016,ALL,8,18167147
FLuNet,chi,sh,8,2016,ALL,6,18167147
FLuNet,chi,sh,9,2016,ALL,4,18167147
FLuNet,chi,sh,10,2016,ALL,7,18167147
FLuNet,chi,sh,11,2016,ALL,8,18167147
FLuNet,chi,sh,12,2016,ALL,8,18167147
FLuNet,chi,sh,13,2016,ALL,4,18167147
FLuNet,chi,sh,14,2016,ALL,7,18167147
FLuNet,chi,sh,15,2016,ALL,9,18167147
FLuNet,chi,sh,16,2016,ALL,7,18167147
FLuNet,chi,sh,17,2016,ALL,17,18167147
FLuNet,chi,sh,18,2016,ALL,11,18167147
FLuNet,chi,sh,19,2016,ALL,25,18167147
FLuNet,chi,sh,20,2016,ALL,32,18167147
FLuNet,chi,sh,21,2016,ALL,39,18167147
FLuNet,chi,sh,22,2016,ALL,36,18167147
FLuNet,chi,sh,23,2016,ALL,46,18167147
FLuNet,chi,sh,24,2016,ALL,77,18167147
FLuNet,chi,sh,25,2016,ALL,90,18167147
FLuNet,chi,sh,26,2016,ALL,114,18167147
FLuNet,chi,sh,27,2016,ALL,160,18167147
FLuNet,chi,sh,28,2016,ALL,220,18167147
FLuNet,chi,sh,29,2016,ALL,256,18167147
FLuNet,chi,sh,30,2016,ALL,252,18167147
FLuNet,chi,sh,31,2016,ALL,274,18167147
FLuNet,chi,sh,32,2016,ALL,288,18167147
FLuNet,chi,sh,33,2016,ALL,251,18167147
FLuNet,chi,sh,34,2016,ALL,230,18167147
FLuNet,chi,sh,35,2016,ALL,204,18167147
FLuNet,chi,sh,36,2016,ALL,171,18167147
FLuNet,chi,sh,37,2016,ALL,149,18167147
FLuNet,chi,sh,38,2016,ALL,124,18167147
FLuNet,chi,sh,39,2016,ALL,110,18167147
FLuNet,chi,sh,40,2016,ALL,111,18167147
FLuNet,chi,sh,41,2016,ALL,84,18167147
FLuNet,chi,sh,42,2016,ALL,81,18167147
FLuNet,chi,sh,43,2016,ALL,55,18167147
FLuNet,chi,sh,44,2016,ALL,25,18167147
FLuNet,chi,sh,45,2016,ALL,20,18167147
FLuNet,chi,sh,46,2016,ALL,32,18167147
FLuNet,chi,sh,47,2016,ALL,17,18167147
FLuNet,chi,sh,48,2016,ALL,12,18167147
FLuNet,chi,sh,49,2016,ALL,6,18167147
FLuNet,chi,sh,50,2016,ALL,12,18167147
FLuNet,chi,sh,51,2016,ALL,4,18167147
FLuNet,chi,sh,52,2016,ALL,5,18167147
FLuNet,chi,sh,1,2017,ALL,9,18419192
FLuNet,chi,sh,2,2017,ALL,16,18419192
FLuNet,chi,sh,3,2017,ALL,6,18419192
FLuNet,chi,sh,4,2017,ALL,7,18419192
FLuNet,chi,sh,5,2017,ALL,7,18419192
FLuNet,chi,sh,6,2017,ALL,6,18419192
FLuNet,chi,sh,7,2017,ALL,14,18419192
FLuNet,chi,sh,8,2017,ALL,13,18419192
FLuNet,chi,sh,9,2017,ALL,10,18419192
FLuNet,chi,sh,10,2017,ALL,17,18419192
FLuNet,chi,sh,11,2017,ALL,17,18419192
FLuNet,chi,sh,12,2017,ALL,38,18419192
FLuNet,chi,sh,13,2017,ALL,31,18419192
FLuNet,chi,sh,14,2017,ALL,27,18419192
FLuNet,chi,sh,15,2017,ALL,25,18419192
FLuNet,chi,sh,16,2017,ALL,29,18419192
FLuNet,chi,sh,17,2017,ALL,28,18419192
FLuNet,chi,sh,18,2017,ALL,38,18419192
FLuNet,chi,sh,19,2017,ALL,65,18419192
FLuNet,chi,sh,20,2017,ALL,106,18419192
FLuNet,chi,sh,21,2017,ALL,150,18419192
FLuNet,chi,sh,22,2017,ALL,235,18419192
FLuNet,chi,sh,23,2017,ALL,323,18419192
FLuNet,chi,sh,24,2017,ALL,415,18419192
FLuNet,chi,sh,25,2017,ALL,431,18419192
FLuNet,chi,sh,26,2017,ALL,361,18419192
FLuNet,chi,sh,27,2017,ALL,301,18419192
FLuNet,chi,sh,28,2017,ALL,240,18419192
FLuNet,chi,sh,29,2017,ALL,155,18419192
FLuNet,chi,sh,30,2017,ALL,90,18419192
FLuNet,chi,sh,31,2017,ALL,70,18419192
FLuNet,chi,sh,32,2017,ALL,62,18419192
FLuNet,chi,sh,33,2017,ALL,61,18419192
FLuNet,chi,sh,34,2017,ALL,64,18419192
FLuNet,chi,sh,35,2017,ALL,55,18419192
FLuNet,chi,sh,36,2017,ALL,37,18419192
FLuNet,chi,sh,37,2017,ALL,52,18419192
FLuNet,chi,sh,38,2017,ALL,46,18419192
FLuNet,chi,sh,39,2017,ALL,47,18419192
FLuNet,chi,sh,40,2017,ALL,57,18419192
FLuNet,chi,sh,41,2017,ALL,72,18419192
FLuNet,chi,sh,42,2017,ALL,46,18419192
FLuNet,chi,sh,43,2017,ALL,46,18419192
FLuNet,chi,sh,44,2017,ALL,46,18419192
FLuNet,chi,sh,45,2017,ALL,52,18419192
FLuNet,chi,sh,46,2017,ALL,49,18419192
FLuNet,chi,sh,47,2017,ALL,38,18419192
FLuNet,chi,sh,48,2017,ALL,34,18419192
FLuNet,chi,sh,49,2017,ALL,30,18419192
FLuNet,chi,sh,50,2017,ALL,21,18419192
FLuNet,chi,sh,51,2017,ALL,12,18419192
FLuNet,chi,sh,52,2017,ALL,13,18419192
FLuNet,chi,sh,1,2018,ALL,13,18751405
FLuNet,chi,sh,2,2018,ALL,18,18751405
FLuNet,chi,sh,3,2018,ALL,10,18751405
FLuNet,chi,sh,4,2018,ALL,8,18751405
FLuNet,chi,sh,5,2018,ALL,10,18751405
FLuNet,chi,sh,6,2018,ALL,4,18751405
FLuNet,chi,sh,7,2018,ALL,14,18751405
FLuNet,chi,sh,8,2018,ALL,21,18751405
FLuNet,chi,sh,9,2018,ALL,12,18751405
FLuNet,chi,sh,10,2018,ALL,10,18751405
FLuNet,chi,sh,11,2018,ALL,14,18751405
FLuNet,chi,sh,12,2018,ALL,20,18751405
FLuNet,chi,sh,13,2018,ALL,10,18751405
FLuNet,chi,sh,14,2018,ALL,15,18751405
FLuNet,chi,sh,15,2018,ALL,15,18751405
FLuNet,chi,sh,16,2018,ALL,17,18751405
FLuNet,chi,sh,17,2018,ALL,27,18751405
FLuNet,chi,sh,18,2018,ALL,21,18751405
FLuNet,chi,sh,19,2018,ALL,21,18751405
FLuNet,chi,sh,20,2018,ALL,44,18751405
FLuNet,chi,sh,21,2018,ALL,47,18751405
FLuNet,chi,sh,22,2018,ALL,80,18751405
FLuNet,chi,sh,23,2018,ALL,93,18751405
FLuNet,chi,sh,24,2018,ALL,100,18751405
FLuNet,chi,sh,25,2018,ALL,133,18751405
FLuNet,chi,sh,26,2018,ALL,203,18751405
FLuNet,chi,sh,27,2018,ALL,229,18751405
FLuNet,chi,sh,28,2018,ALL,281,18751405
FLuNet,chi,sh,29,2018,ALL,263,18751405
FLuNet,chi,sh,30,2018,ALL,290,18751405
FLuNet,chi,sh,31,2018,ALL,272,18751405
FLuNet,chi,sh,32,2018,ALL,288,18751405
FLuNet,chi,sh,33,2018,ALL,313,18751405
FLuNet,chi,sh,34,2018,ALL,298,18751405
FLuNet,chi,sh,35,2018,ALL,244,18751405
FLuNet,chi,sh,36,2018,ALL,145,18751405
FLuNet,chi,sh,37,2018,ALL,109,18751405
FLuNet,chi,sh,38,2018,ALL,82,18751405
FLuNet,chi,sh,39,2018,ALL,59,18751405
FLuNet,chi,sh,40,2018,ALL,46,18751405
FLuNet,chi,sh,41,2018,ALL,49,18751405
FLuNet,chi,sh,42,2018,ALL,35,18751405
FLuNet,chi,sh,43,2018,ALL,35,18751405
FLuNet,chi,sh,44,2018,ALL,17,18751405
FLuNet,chi,sh,45,2018,ALL,25,18751405
FLuNet,chi,sh,46,2018,ALL,19,18751405
FLuNet,chi,sh,47,2018,ALL,20,18751405
FLuNet,chi,sh,48,2018,ALL,31,18751405
FLuNet,chi,sh,49,2018,ALL,21,18751405
FLuNet,chi,sh,50,2018,ALL,13,18751405
FLuNet,chi,sh,51,2018,ALL,15,18751405
FLuNet,chi,sh,52,2018,ALL,13,18751405
FLuNet,chi,sh,1,2019,ALL,7,19107216
FLuNet,chi,sh,2,2019,ALL,15,19107216
FLuNet,chi,sh,3,2019,ALL,11,19107216
FLuNet,chi,sh,4,2019,ALL,11,19107216
FLuNet,chi,sh,5,2019,ALL,12,19107216
FLuNet,chi,sh,6,2019,ALL,9,19107216
FLuNet,chi,sh,7,2019,ALL,9,19107216
FLuNet,chi,sh,8,2019,ALL,16,19107216
FLuNet,chi,sh,9,2019,ALL,14,19107216
FLuNet,chi,sh,10,2019,ALL,8,19107216
FLuNet,chi,sh,11,2019,ALL,10,19107216
FLuNet,chi,sh,12,2019,ALL,17,19107216
FLuNet,chi,sh,13,2019,ALL,22,19107216
FLuNet,chi,sh,14,2019,ALL,28,19107216
FLuNet,chi,sh,15,2019,ALL,22,19107216
FLuNet,chi,sh,16,2019,ALL,47,19107216
FLuNet,chi,sh,17,2019,ALL,68,19107216
FLuNet,chi,sh,18,2019,ALL,83,19107216
