data_source,country,hemisphere,week,year,age_group,cases_flu,cases_rsv,cases_covid19,denominator
SARI epi.minsal,CHI,sh,1,2016,ALL,1,0,0,18167147
SARI epi.minsal,CHI,sh,2,2016,ALL,1,1,0,18167147
SARI epi.minsal,CHI,sh,3,2016,ALL,0,0,0,18167147
SARI epi.minsal,CHI,sh,4,2016,ALL,0,0,0,18167147
SARI epi.minsal,CHI,sh,5,2016,ALL,0,0,0,18167147
SARI epi.minsal,CHI,sh,6,2016,ALL,0,0,0,18167147
SARI epi.minsal,CHI,sh,7,2016,ALL,3,1,0,18167147
SARI epi.minsal,CHI,sh,8,2016,ALL,0,1,0,18167147
SARI epi.minsal,CHI,sh,9,2016,ALL,1,1,0,18167147
SARI epi.minsal,CHI,sh,10,2016,ALL,0,1,0,18167147
SARI epi.minsal,CHI,sh,11,2016,ALL,1,1,0,18167147
SARI epi.minsal,CHI,sh,12,2016,ALL,2,1,0,18167147
SARI epi.minsal,CHI,sh,13,2016,ALL,2,3,0,18167147
SARI epi.minsal,CHI,sh,14,2016,ALL,2,2,0,18167147
SARI epi.minsal,CHI,sh,15,2016,ALL,0,2,0,18167147
SARI epi.minsal,CHI,sh,16,2016,ALL,4,2,0,18167147
SARI epi.minsal,CHI,sh,17,2016,ALL,7,7,0,18167147
SARI epi.minsal,CHI,sh,18,2016,ALL,1,9,0,18167147
SARI epi.minsal,CHI,sh,19,2016,ALL,7,6,0,18167147
SARI epi.minsal,CHI,sh,20,2016,ALL,9,13,0,18167147
SARI epi.minsal,CHI,sh,21,2016,ALL,7,37,0,18167147
SARI epi.minsal,CHI,sh,22,2016,ALL,7,41,0,18167147
SARI epi.minsal,CHI,sh,23,2016,ALL,20,59,0,18167147
SARI epi.minsal,CHI,sh,24,2016,ALL,15,54,0,18167147
SARI epi.minsal,CHI,sh,25,2016,ALL,16,58,0,18167147
SARI epi.minsal,CHI,sh,26,2016,ALL,36,87,0,18167147
SARI epi.minsal,CHI,sh,27,2016,ALL,47,86,0,18167147
SARI epi.minsal,CHI,sh,28,2016,ALL,82,83,0,18167147
SARI epi.minsal,CHI,sh,29,2016,ALL,77,77,0,18167147
SARI epi.minsal,CHI,sh,30,2016,ALL,55,51,0,18167147
SARI epi.minsal,CHI,sh,31,2016,ALL,57,46,0,18167147
SARI epi.minsal,CHI,sh,32,2016,ALL,88,42,0,18167147
SARI epi.minsal,CHI,sh,33,2016,ALL,77,30,0,18167147
SARI epi.minsal,CHI,sh,34,2016,ALL,59,22,0,18167147
SARI epi.minsal,CHI,sh,35,2016,ALL,67,19,0,18167147
SARI epi.minsal,CHI,sh,36,2016,ALL,48,20,0,18167147
SARI epi.minsal,CHI,sh,37,2016,ALL,37,8,0,18167147
SARI epi.minsal,CHI,sh,38,2016,ALL,46,9,0,18167147
SARI epi.minsal,CHI,sh,39,2016,ALL,24,8,0,18167147
SARI epi.minsal,CHI,sh,40,2016,ALL,19,0,0,18167147
SARI epi.minsal,CHI,sh,41,2016,ALL,9,2,0,18167147
SARI epi.minsal,CHI,sh,42,2016,ALL,16,0,0,18167147
SARI epi.minsal,CHI,sh,43,2016,ALL,6,4,0,18167147
SARI epi.minsal,CHI,sh,44,2016,ALL,11,2,0,18167147
SARI epi.minsal,CHI,sh,45,2016,ALL,2,2,0,18167147
SARI epi.minsal,CHI,sh,46,2016,ALL,4,3,0,18167147
SARI epi.minsal,CHI,sh,47,2016,ALL,5,1,0,18167147
SARI epi.minsal,CHI,sh,48,2016,ALL,3,2,0,18167147
SARI epi.minsal,CHI,sh,49,2016,ALL,3,2,0,18167147
SARI epi.minsal,CHI,sh,50,2016,ALL,3,2,2,18167147
SARI epi.minsal,CHI,sh,51,2016,ALL,0,0,0,18167147
SARI epi.minsal,CHI,sh,52,2016,ALL,0,0,0,18167147
SARI epi.minsal,CHI,sh,1,2017,ALL,1,1,0,18419192
SARI epi.minsal,CHI,sh,2,2017,ALL,2,2,0,18419192
SARI epi.minsal,CHI,sh,3,2017,ALL,1,0,0,18419192
SARI epi.minsal,CHI,sh,4,2017,ALL,1,0,0,18419192
SARI epi.minsal,CHI,sh,5,2017,ALL,0,0,0,18419192
SARI epi.minsal,CHI,sh,6,2017,ALL,0,0,0,18419192
SARI epi.minsal,CHI,sh,7,2017,ALL,5,1,0,18419192
SARI epi.minsal,CHI,sh,8,2017,ALL,2,0,0,18419192
SARI epi.minsal,CHI,sh,9,2017,ALL,3,2,0,18419192
SARI epi.minsal,CHI,sh,10,2017,ALL,3,1,0,18419192
SARI epi.minsal,CHI,sh,11,2017,ALL,5,4,0,18419192
SARI epi.minsal,CHI,sh,12,2017,ALL,9,3,1,18419192
SARI epi.minsal,CHI,sh,13,2017,ALL,4,13,0,18419192
SARI epi.minsal,CHI,sh,14,2017,ALL,3,10,0,18419192
SARI epi.minsal,CHI,sh,15,2017,ALL,6,11,0,18419192
SARI epi.minsal,CHI,sh,16,2017,ALL,7,23,0,18419192
SARI epi.minsal,CHI,sh,17,2017,ALL,3,18,0,18419192
SARI epi.minsal,CHI,sh,18,2017,ALL,6,26,0,18419192
SARI epi.minsal,CHI,sh,19,2017,ALL,10,23,0,18419192
SARI epi.minsal,CHI,sh,20,2017,ALL,19,30,0,18419192
SARI epi.minsal,CHI,sh,21,2017,ALL,24,37,0,18419192
SARI epi.minsal,CHI,sh,22,2017,ALL,45,38,0,18419192
SARI epi.minsal,CHI,sh,23,2017,ALL,59,43,0,18419192
SARI epi.minsal,CHI,sh,24,2017,ALL,55,70,0,18419192
SARI epi.minsal,CHI,sh,25,2017,ALL,43,59,0,18419192
SARI epi.minsal,CHI,sh,26,2017,ALL,40,72,0,18419192
SARI epi.minsal,CHI,sh,27,2017,ALL,33,85,0,18419192
SARI epi.minsal,CHI,sh,28,2017,ALL,33,69,1,18419192
SARI epi.minsal,CHI,sh,29,2017,ALL,23,55,0,18419192
