week,year,age_group,hsp_abs_covid,hsp_rate_covid19
1,2022,0TO4,103,2.59
1,2022,60-79,1804,9.85
1,2022,ALL,5380,6.46
1,2022,15-34,629,3.35
1,2022,35-59,1410,4.96
1,2022,5TO14,66,0.86
1,2022,80+,1367,22.37
2,2022,80+,1273,20.83
2,2022,0TO4,184,4.63
2,2022,60-79,1595,8.71
2,2022,15-34,933,4.96
2,2022,35-59,1331,4.69
2,2022,ALL,5437,6.53
2,2022,5TO14,121,1.59
3,2022,5TO14,206,2.7
3,2022,80+,1096,17.93
3,2022,0TO4,232,5.84
3,2022,ALL,5205,6.25
3,2022,60-79,1283,7
3,2022,15-34,976,5.19
3,2022,35-59,1410,4.96
4,2022,5TO14,337,4.42
4,2022,60-79,1667,9.1
4,2022,80+,1506,24.64
4,2022,15-34,1257,6.69
4,2022,35-59,1705,6
4,2022,0TO4,322,8.1
4,2022,ALL,6794,8.16
5,2022,60-79,2056,11.22
5,2022,80+,2025,33.13
5,2022,5TO14,415,5.44
5,2022,15-34,1478,7.86
5,2022,0TO4,409,10.29
5,2022,ALL,8402,10.09
5,2022,35-59,2011,7.08
6,2022,5TO14,459,6.01
6,2022,15-34,1551,8.25
6,2022,ALL,10143,12.19
6,2022,60-79,2757,15.05
6,2022,80+,2747,44.95
6,2022,0TO4,415,10.44
6,2022,35-59,2212,7.79
7,2022,35-59,2277,8.02
7,2022,60-79,2838,15.49
7,2022,5TO14,415,5.44
7,2022,15-34,1462,7.78
7,2022,ALL,10650,12.79
7,2022,80+,3243,53.06
7,2022,0TO4,413,10.39
8,2022,0TO4,423,10.64
8,2022,35-59,2097,7.38
8,2022,5TO14,353,4.63
8,2022,15-34,1287,6.85
8,2022,60-79,2974,16.23
8,2022,ALL,10576,12.71
8,2022,80+,3440,56.29
9,2022,0TO4,401,10.09
9,2022,35-59,1952,6.87
9,2022,5TO14,288,3.77
9,2022,15-34,1195,6.36
9,2022,60-79,3048,16.64
9,2022,80+,3442,56.32
9,2022,ALL,10330,12.41
10,2022,35-59,1840,6.48
10,2022,5TO14,247,3.24
10,2022,60-79,2899,15.83
10,2022,15-34,1164,6.19
10,2022,80+,3378,55.27
10,2022,ALL,9919,11.92
10,2022,0TO4,391,9.84
11,2022,35-59,1974,6.95
11,2022,60-79,3361,18.35
11,2022,15-34,1321,7.03
11,2022,80+,4005,65.53
11,2022,5TO14,301,3.94
11,2022,0TO4,459,11.55
11,2022,ALL,11425,13.73
12,2022,5TO14,329,4.31
12,2022,80+,4558,74.58
12,2022,ALL,12592,15.13
12,2022,60-79,3835,20.93
12,2022,0TO4,469,11.8
12,2022,35-59,2122,7.47
12,2022,15-34,1277,6.79
13,2022,80+,4441,72.66
13,2022,0TO4,430,10.82
13,2022,ALL,12325,14.81
13,2022,60-79,3857,21.05
13,2022,35-59,2081,7.33
