year,week,age_group,cases_rate_flu,cases_rate_rsv,cases_rate_covid19
2016,1,ALL,0.4,0.05,NA
2016,1,00-04,2.16,0.96,NA
2016,1,05-09,0.89,0.06,NA
2016,1,10-14,0.24,0,NA
2016,1,15-19,0.29,0,NA
2016,1,20-24,0.39,0.02,NA
2016,1,25-29,0.34,0,NA
2016,1,30-34,0.33,0,NA
2016,1,35-39,0.51,0,NA
2016,1,40-44,0.41,0,NA
2016,1,45-49,0.35,0,NA
2016,1,50-54,0.23,0,NA
2016,1,55-59,0.26,0,NA
2016,1,60-64,0.17,0,NA
2016,1,65-69,0.18,0,NA
2016,1,70-74,0.3,0,NA
2016,1,75-79,0.11,0,NA
2016,1,80+,0.14,0,NA
2016,2,ALL,0.7,0.06,NA
2016,2,00-04,3.17,1.17,NA
2016,2,05-09,2.35,0,NA
2016,2,10-14,0.49,0.03,NA
2016,2,15-19,0.55,0.02,NA
2016,2,20-24,0.52,0.04,NA
2016,2,25-29,0.63,0,NA
2016,2,30-34,0.57,0,NA
2016,2,35-39,0.59,0.02,NA
2016,2,40-44,0.89,0,NA
2016,2,45-49,0.64,0.02,NA
2016,2,50-54,0.63,0,NA
2016,2,55-59,0.45,0,NA
2016,2,60-64,0.34,0,NA
2016,2,65-69,0.44,0,NA
2016,2,70-74,0.16,0.03,NA
2016,2,75-79,0.16,0,NA
2016,2,80+,0.1,0,NA
2016,3,ALL,1.33,0.11,NA
2016,3,00-04,6.36,2.1,NA
2016,3,05-09,6.45,0.11,NA
2016,3,10-14,2.09,0.05,NA
2016,3,15-19,1.08,0,NA
2016,3,20-24,0.5,0,NA
2016,3,25-29,1.19,0,NA
2016,3,30-34,1.03,0,NA
2016,3,35-39,1.29,0,NA
2016,3,40-44,1.33,0,NA
2016,3,45-49,0.78,0,NA
2016,3,50-54,0.73,0.01,NA
2016,3,55-59,0.77,0.02,NA
2016,3,60-64,0.62,0,NA
2016,3,65-69,0.31,0.02,NA
2016,3,70-74,0.38,0,NA
2016,3,75-79,0.39,0,NA
2016,3,80+,0.18,0,NA
2016,4,ALL,2.72,0.11,NA
2016,4,00-04,13.82,2.08,NA
2016,4,05-09,11.59,0.11,NA
2016,4,10-14,4.62,0.08,NA
2016,4,15-19,1.82,0.02,NA
2016,4,20-24,1.07,0,NA
2016,4,25-29,1.71,0.04,NA
2016,4,30-34,2.74,0.02,NA
2016,4,35-39,2.87,0,NA
2016,4,40-44,2.65,0,NA
2016,4,45-49,2.12,0,NA
2016,4,50-54,1.7,0.03,NA
2016,4,55-59,1.54,0,NA
2016,4,60-64,1.17,0,NA
2016,4,65-69,0.66,0,NA
