data_source,country,hemisphere,week,year,origin_source,hsp_rate_flu,hsp_rate_rsv,hsp_abs_flu,hsp_abs_rsv,denominator,subtype_a_abs,subtype_b_abs
fluNet,France,NH,1,2016,NONSENTINEL,0.11246306038318653,0.9986719762026964,75,666,66688564,30,45
fluNet,France,NH,1,2016,SENTINEL,0.022492612076637306,0.017994089661309845,15,12,66688564,5,10
fluNet,France,NH,2,2016,NONSENTINEL,0.16194680695178862,0.6402896904482753,108,427,66688564,56,52
fluNet,France,NH,2,2016,SENTINEL,0.03598817932261969,0.013495567245982384,24,9,66688564,11,13
fluNet,France,NH,3,2016,NONSENTINEL,0.3388886886213354,0.5308256450086405,226,354,66688564,119,107
fluNet,France,NH,3,2016,SENTINEL,0.09596847819365252,0.016494582189534025,64,11,66688564,28,36
fluNet,France,NH,4,2016,NONSENTINEL,0.6942719594322049,0.47984239096826253,463,320,66688564,199,264
fluNet,France,NH,4,2016,SENTINEL,0.1829399115566501,0.016494582189534025,122,11,66688564,37,85
fluNet,France,NH,5,2016,SENTINEL,0.2609143000889928,0.010496552302430745,174,7,66688564,48,126
fluNet,France,NH,5,2016,NONSENTINEL,0.9821773940131625,0.4393556892303154,655,293,66688564,246,409
fluNet,France,NH,6,2016,NONSENTINEL,1.2400926791586036,0.3433872110366629,827,229,66688564,260,567
fluNet,France,NH,6,2016,SENTINEL,0.27590937480675093,0.011996059774206565,184,8,66688564,52,132
fluNet,France,NH,7,2016,NONSENTINEL,1.5085045166064754,0.19943449374618413,1006,133,66688564,323,683
fluNet,France,NH,7,2016,SENTINEL,0.30290050929871576,0.0059980298871032825,202,4,66688564,54,148
fluNet,France,NH,8,2016,NONSENTINEL,1.9268671012319292,0.17994089661309845,1285,120,66688564,406,879
fluNet,France,NH,8,2016,SENTINEL,0.28940494205273337,0.0014995074717758206,193,1,66688564,53,140
fluNet,France,NH,9,2016,NONSENTINEL,1.737929159788176,0.14995074717758206,1159,100,66688564,382,777
fluNet,France,NH,9,2016,SENTINEL,0.3283921363189047,0.0029990149435516413,219,2,66688564,50,169
fluNet,France,NH,10,2016,SENTINEL,0.38237440530283423,0.0059980298871032825,255,4,66688564,62,193
fluNet,France,NH,10,2016,NONSENTINEL,1.8758838471915513,0.10346601555253161,1251,69,66688564,392,859
fluNet,France,NH,11,2016,NONSENTINEL,2.030333116784461,0.11096355291141072,1354,74,66688564,450,904
fluNet,France,NH,11,2016,SENTINEL,0.32989164379068053,0.0014995074717758206,220,1,66688564,51,169
fluNet,France,NH,12,2016,NONSENTINEL,1.7169360551833146,0.07197635864523938,1145,48,66688564,354,791
fluNet,France,NH,12,2016,SENTINEL,0.2609143000889928,0,174,0,66688564,47,127
