"","week","hsp_flu_rate","year","age"
"1",40,"0.62338912487030029",2022,"ALL"
"2",40,"3.8953546434640884E-2",2018,"ALL"
"3",40,"0.13739198446273804",2017,"ALL"
"4",41,"0.81984752416610718",2022,"ALL"
"5",41,"6.9350607693195343E-2",2018,"ALL"
"6",41,"8.1328786909580231E-2",2017,"ALL"
"7",42,"0.93255615234375",2022,"ALL"
"8",42,"1.9476773217320442E-2",2018,"ALL"
"9",42,"6.2873028218746185E-2",2017,"ALL"
"10",43,"1.2839971780776978",2022,"ALL"
"11",43,"7.3250532150268555E-2",2018,"ALL"
"12",43,"0.10783831775188446",2017,"ALL"
"13",44,"1.0281164646148682",2022,"ALL"
"14",44,"7.3976278305053711E-2",2018,"ALL"
"15",44,"4.7512020915746689E-2",2017,"ALL"
"16",45,"1.4864495992660522",2022,"ALL"
"17",45,"0.16555258631706238",2018,"ALL"
"18",45,"6.7972935736179352E-2",2017,"ALL"
"19",46,"2.3715806007385254",2022,"ALL"
"20",46,"0.18312633037567139",2018,"ALL"
"21",46,"0.24530822038650513",2017,"ALL"
"22",47,"2.8364346027374268",2022,"ALL"
"23",47,"0.24013736844062805",2018,"ALL"
"24",47,"0.34659796953201294",2017,"ALL"
"25",48,"4.1705222129821777",2022,"ALL"
"26",48,"0.34794002771377563",2018,"ALL"
"27",48,"0.53236353397369385",2017,"ALL"
"28",49,"7.3896083831787109",2022,"ALL"
"29",49,"0.47612848877906799",2018,"ALL"
"30",49,"0.77797645330429077",2017,"ALL"
"31",50,"11.26130199432373",2022,"ALL"
"32",50,"0.72109454870223999",2018,"ALL"
"33",50,"1.2947591543197632",2017,"ALL"
"34",51,"16.391246795654297",2022,"ALL"
"35",51,"0.95222145318984985",2018,"ALL"
"36",51,"2.8526029586791992",2017,"ALL"
"37",52,"11.596279144287109",2022,"ALL"
"38",52,"2.1343057155609131",2018,"ALL"
"39",52,"3.6924757957458496",2017,"ALL"
"40",1,"6.9630918502807617",2023,"ALL"
"41",1,"3.1731076240539551",2019,"ALL"
"42",1,"6.3316497802734375",2018,"ALL"
"43",2,"3.2099440097808838",2023,"ALL"
"44",2,"4.2576870918273926",2019,"ALL"
"45",2,"7.8993349075317383",2018,"ALL"
"46",3,"1.4050024747848511",2023,"ALL"
"47",3,"4.5105223655700684",2019,"ALL"
"48",3,"7.015627384185791",2018,"ALL"
"49",4,"5.3331236839294434",2019,"ALL"
"50",4,"6.7641482353210449",2018,"ALL"
"51",5,"5.3945250511169434",2019,"ALL"
"52",5,"5.6446189880371094",2018,"ALL"
"53",6,"6.0699367523193359",2019,"ALL"
"54",6,"5.494086742401123",2018,"ALL"
"55",7,"5.2541794776916504",2019,"ALL"
"56",7,"6.2474422454833984",2018,"ALL"
"57",8,"3.6840658187866211",2019,"ALL"
"58",8,"6.2158780097961426",2018,"ALL"
"59",9,"1.8683476448059082",2019,"ALL"
"60",9,"4.2008771896362305",2018,"ALL"
"61",10,"1.3597460985183716",2019,"ALL"
"62",10,"3.7746982574462891",2018,"ALL"
"63",11,"1.3332809209823608",2019,"ALL"
"64",11,"3.2794959545135498",2018,"ALL"
"65",12,"1.0141708850860596",2019,"ALL"
"66",12,"2.9417524337768555",2018,"ALL"
"67",13,"0.93651390075683594",2019,"ALL"
"68",13,"2.5481038093566895",2018,"ALL"
"69",14,"0.75560545921325684",2019,"ALL"
"70",14,"2.1177451610565186",2018,"ALL"
"71",15,"0.62037080526351929",2019,"ALL"
"72",15,"1.0454487800598145",2018,"ALL"
"73",16,"0.56037122011184692",2019,"ALL"
"74",16,"0.60568863153457642",2018,"ALL"
"75",17,"0.68962180614471436",2019,"ALL"
"76",17,"0.29703161120414734",2018,"ALL"
"77",18,"0.24121753871440887",2019,"ALL"
"78",18,"0.14132735133171082",2018,"ALL"
"79",19,"0.16997236013412476",2019,"ALL"
"80",19,"9.058380126953125E-2",2018,"ALL"
"81",20,"0.2266298234462738",2019,"ALL"
"82",20,"8.6577042937278748E-2",2018,"ALL"
