flu_22_23,flu_21_22,flu_20_21,flu_19_20,flu_18_19,flu_17_18
0.7,0.0,0.0,1.2,0.7,2.1
1.2,0.0,0.0,0.9,0.8,1.9
0.6,0.0,0.0,1.4,0.5,2.2
0.5,0.0,0.1,0.9,0.9,1.6
0.7,0.1,0.0,1.0,1.7,1.2
1.6,0.0,0.0,0.9,2.5,1.4
0.9,0.0,0.0,1.9,2.5,2.1
0.6,0.0,0.0,2.6,3.3,4.1
1.1,0.0,0.0,2.2,3.7,3.5
2.3,0.0,0.0,1.5,5.5,8.6
3.3,0.0,0.0,1.4,6.7,11.2
2.6,0.2,0.2,1.1,12.4,22.3
3.3,0.4,0.1,2.1,17.4,29.1
4.5,0.8,0.0,1.3,16.4,28.4
5.9,1.0,0.2,2.6,21.4,28.3
6.2,0.7,0.1,2.8,21.3,26.9
7.6,0.7,0.0,2.9,23.8,27.6
8.3,0.4,0.0,3.8,25.7,26
9.3,0.7,0.0,3.7,28.6,25.3
9.9,0.6,0.1,7.5,27.8,29.3
12.7,0.7,0.2,15.0,22.2,29.1
17.3,0.9,0.2,16.9,16.0,26.5
23.5,1.1,0.0,20.6,11.7,25.3
29.9,1.1,0.1,21.4,12.3,21.6
31.4,0.8,0.0,22.2,10.7,17.5
25.2,0.6,0.0,25.3,9.4,19.1
12.2,0.5,0.0,19.0,7.3,16.6
,0.5,0.0,12.6,7.2,10.5
,0.4,0.0,9.4,6.4,5.7
,0.4,0.0,7.1,5.5,3.2
,0.4,0.0,7.5,3.8,2.4
,0.6,0.0,5.9,3.3,1.5
,0.8,0.0,6.6,2.3,1.4
,1.1,0.0,5.8,,
,1.6,0.0,5.5,,
,2.0,0.0,5.3,,
,2.8,0.0,3.9,,
,3.8,0.0,2.1,,
,4.3,0.0,0.7,,
,5.4,0.0,0.1,,
,3.9,0.1,0.0,,
,2.9,0.0,0.1,,
,2.5,0.0,0.0,,
,2.1,0.0,0.0,,
,1.8,0.0,0.0,,
,1.2,0.0,0.0,,
,0.8,0.0,0.0,,
,1.0,0.1,0.0,,
,1.1,0.0,0.0,,
,0.5,0.0,0.0,,
,0.5,0.0,0.0,,
,0.5,0.0,0.0,,
