flu_22_23,flu_21_22,flu_20_21,flu_19_20,flu_18_19,flu_17_18
0.7,0.0,0.0,1.2,,
1.2,0.0,0.0,0.9,,
0.6,0.0,0.0,1.4,,
0.5,0.0,0.1,0.9,,
0.7,0.1,0.0,1.0,,
1.6,0.0,0.0,0.9,,
0.9,0.0,0.0,1.9,,
0.6,0.0,0.0,2.6,,
1.1,0.0,0.0,2.2,,
2.3,0.0,0.0,1.5,,
3.3,0.0,0.0,1.4,,
2.6,0.2,0.2,1.1,,
3.3,0.4,0.1,2.1,,
4.5,0.8,0.0,1.3,0.7,2.1
5.9,1.0,0.2,2.6,0.8,1.9
6.2,0.7,0.1,2.8,0.5,2.2
7.6,0.7,0.0,2.9,0.9,1.6
8.3,0.4,0.0,3.8,1.7,1.2
9.3,0.7,0.0,3.7,2.5,1.4
9.9,0.6,0.1,7.5,2.5,2.1
12.7,0.7,0.2,15.0,3.3,4.1
17.3,0.9,0.2,16.9,3.7,3.5
23.5,1.1,0.0,20.6,5.5,8.6
29.9,1.1,0.1,21.4,6.7,11.2
31.4,0.8,0.0,22.2,12.4,22.3
25.2,0.6,0.0,25.3,17.4,29.1
12.2,0.5,0.0,19.0,16.4,28.4
,0.5,0.0,12.6,21.4,28.3
,0.4,0.0,9.4,21.3,26.9
,0.4,0.0,7.1,23.8,27.6
,0.4,0.0,7.5,25.7,26
,0.6,0.0,5.9,28.6,25.3
,0.8,0.0,6.6,27.8,29.3
,1.1,0.0,5.8,22.2,29.1
,1.6,0.0,5.5,16.0,26.5
,2.0,0.0,5.3,11.7,25.3
,2.8,0.0,3.9,12.3,21.6
,3.8,0.0,2.1,10.7,17.5
,4.3,0.0,0.7,9.4,19.1
,5.4,0.0,0.1,7.3,16.6
,3.9,0.1,0.0,7.2,10.5
,2.9,0.0,0.1,6.4,5.7
,2.5,0.0,0.0,5.5,3.2
,2.1,0.0,0.0,3.8,2.4
,1.8,0.0,0.0,3.3,1.5
,1.2,0.0,0.0,2.3,1.4
,0.8,0.0,0.0,,
,1.0,0.1,0.0,,
,1.1,0.0,0.0,,
,0.5,0.0,0.0,,
,0.5,0.0,0.0,,
,0.5,0.0,0.0,,
