CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX,RACE,CUMULATIVE RATE,WEEKLY RATE
Entire Network,COVID-NET,2020-22,2022,1,0-4 yr,Overall,Overall,148.9,16.3
Entire Network,COVID-NET,2020-22,2022,2,0-4 yr,Overall,Overall,162.7,13.8
Entire Network,COVID-NET,2020-22,2022,3,0-4 yr,Overall,Overall,175.5,12.8
Entire Network,COVID-NET,2020-22,2022,4,0-4 yr,Overall,Overall,183.8,8.4
Entire Network,COVID-NET,2020-22,2022,5,0-4 yr,Overall,Overall,189.6,5.7
Entire Network,COVID-NET,2020-22,2022,6,0-4 yr,Overall,Overall,194.2,4.7
Entire Network,COVID-NET,2020-22,2022,7,0-4 yr,Overall,Overall,197.7,3.4
Entire Network,COVID-NET,2020-22,2022,8,0-4 yr,Overall,Overall,200.8,3.1
Entire Network,COVID-NET,2020-22,2022,9,0-4 yr,Overall,Overall,203.5,2.8
Entire Network,COVID-NET,2020-22,2022,10,0-4 yr,Overall,Overall,205.3,1.8
Entire Network,COVID-NET,2020-22,2022,11,0-4 yr,Overall,Overall,206.5,1.2
Entire Network,COVID-NET,2020-22,2022,12,0-4 yr,Overall,Overall,207.8,1.3
Entire Network,COVID-NET,2020-22,2022,13,0-4 yr,Overall,Overall,209.3,1.5
Entire Network,COVID-NET,2020-22,2022,14,0-4 yr,Overall,Overall,210.4,1.1
Entire Network,COVID-NET,2020-22,2022,15,0-4 yr,Overall,Overall,212.3,1.8
Entire Network,COVID-NET,2020-22,2022,16,0-4 yr,Overall,Overall,214.3,2.1
Entire Network,COVID-NET,2020-22,2022,17,0-4 yr,Overall,Overall,216.6,2.3
Entire Network,COVID-NET,2020-22,2022,18,0-4 yr,Overall,Overall,219.2,2.6
Entire Network,COVID-NET,2020-22,2022,19,0-4 yr,Overall,Overall,222.5,3.3
Entire Network,COVID-NET,2020-22,2022,20,0-4 yr,Overall,Overall,225.3,2.8
Entire Network,COVID-NET,2020-22,2022,21,0-4 yr,Overall,Overall,228.1,2.8
Entire Network,COVID-NET,2020-22,2022,22,0-4 yr,Overall,Overall,231.8,3.7
Entire Network,COVID-NET,2020-22,2022,23,0-4 yr,Overall,Overall,235.1,3.4
Entire Network,COVID-NET,2020-22,2022,24,0-4 yr,Overall,Overall,238.4,3.3
Entire Network,COVID-NET,2020-22,2022,25,0-4 yr,Overall,Overall,242.4,4
Entire Network,COVID-NET,2020-22,2022,26,0-4 yr,Overall,Overall,246.8,4.5
Entire Network,COVID-NET,2020-22,2022,27,0-4 yr,Overall,Overall,251.1,4.3
Entire Network,COVID-NET,2020-22,2022,28,0-4 yr,Overall,Overall,255.2,4.1
Entire Network,COVID-NET,2020-22,2022,29,0-4 yr,Overall,Overall,260.8,5.6
Entire Network,COVID-NET,2020-22,2022,30,0-4 yr,Overall,Overall,265.2,4.4
Entire Network,COVID-NET,2020-22,2022,31,0-4 yr,Overall,Overall,270.2,5.1
Entire Network,COVID-NET,2020-22,2022,32,0-4 yr,Overall,Overall,274.9,4.7
Entire Network,COVID-NET,2020-22,2022,33,0-4 yr,Overall,Overall,280.1,5.2
Entire Network,COVID-NET,2020-22,2022,34,0-4 yr,Overall,Overall,285.3,5.2
Entire Network,COVID-NET,2020-22,2022,35,0-4 yr,Overall,Overall,288.8,3.5
Entire Network,COVID-NET,2020-22,2022,36,0-4 yr,Overall,Overall,292.3,3.5
Entire Network,COVID-NET,2020-22,2022,37,0-4 yr,Overall,Overall,295.6,3.3
Entire Network,COVID-NET,2020-22,2022,38,0-4 yr,Overall,Overall,297.9,2.4
Entire Network,COVID-NET,2020-22,2022,39,0-4 yr,Overall,Overall,300.8,2.9
Entire Network,COVID-NET,2020-22,2022,40,0-4 yr,Overall,Overall,302.7,1.9
Entire Network,COVID-NET,2020-22,2022,41,0-4 yr,Overall,Overall,305.3,2.6
Entire Network,COVID-NET,2020-22,2022,42,0-4 yr,Overall,Overall,308.3,3
Entire Network,COVID-NET,2020-22,2022,43,0-4 yr,Overall,Overall,311.3,3
Entire Network,COVID-NET,2020-22,2022,44,0-4 yr,Overall,Overall,313.4,2.2
Entire Network,COVID-NET,2020-22,2022,45,0-4 yr,Overall,Overall,316.8,3.3
Entire Network,COVID-NET,2020-22,2022,46,0-4 yr,Overall,Overall,320.5,3.7
Entire Network,COVID-NET,2020-22,2022,47,0-4 yr,Overall,Overall,324.5,4
Entire Network,COVID-NET,2020-22,2022,48,0-4 yr,Overall,Overall,329,4.5
Entire Network,COVID-NET,2020-22,2022,49,0-4 yr,Overall,Overall,333.9,5
Entire Network,COVID-NET,2020-22,2022,50,0-4 yr,Overall,Overall,337.7,3.8
Entire Network,COVID-NET,2020-22,2022,51,0-4 yr,Overall,Overall,341.4,3.6
Entire Network,COVID-NET,2020-22,2022,52,0-4 yr,Overall,Overall,345,3.6
Entire Network,COVID-NET,2020-22,2023,1,0-4 yr,Overall,Overall,347.5,2.5
Entire Network,COVID-NET,2020-22,2023,2,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,3,0-4 yr,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,4,0-4 yr,Overall,Overall,null,null
