CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX,RACE,CUMULATIVE RATE,WEEKLY RATE
Entire Network,COVID-NET,2020-22,2022,1,Overall,Overall,Overall,880.5,34.9
Entire Network,COVID-NET,2020-22,2022,2,Overall,Overall,Overall,913.6,33.2
Entire Network,COVID-NET,2020-22,2022,3,Overall,Overall,Overall,940.8,27.2
Entire Network,COVID-NET,2020-22,2022,4,Overall,Overall,Overall,961.8,21
Entire Network,COVID-NET,2020-22,2022,5,Overall,Overall,Overall,976.4,14.7
Entire Network,COVID-NET,2020-22,2022,6,Overall,Overall,Overall,987.5,11
Entire Network,COVID-NET,2020-22,2022,7,Overall,Overall,Overall,994.9,7.4
Entire Network,COVID-NET,2020-22,2022,8,Overall,Overall,Overall,1000.7,5.8
Entire Network,COVID-NET,2020-22,2022,9,Overall,Overall,Overall,1005,4.3
Entire Network,COVID-NET,2020-22,2022,10,Overall,Overall,Overall,1008.1,3.1
Entire Network,COVID-NET,2020-22,2022,11,Overall,Overall,Overall,1010.8,2.6
Entire Network,COVID-NET,2020-22,2022,12,Overall,Overall,Overall,1013.2,2.4
Entire Network,COVID-NET,2020-22,2022,13,Overall,Overall,Overall,1015.3,2.1
Entire Network,COVID-NET,2020-22,2022,14,Overall,Overall,Overall,1017.8,2.4
Entire Network,COVID-NET,2020-22,2022,15,Overall,Overall,Overall,1020.9,3.2
Entire Network,COVID-NET,2020-22,2022,16,Overall,Overall,Overall,1024.7,3.8
Entire Network,COVID-NET,2020-22,2022,17,Overall,Overall,Overall,1029.4,4.6
Entire Network,COVID-NET,2020-22,2022,18,Overall,Overall,Overall,1035.2,5.8
Entire Network,COVID-NET,2020-22,2022,19,Overall,Overall,Overall,1042.2,7
Entire Network,COVID-NET,2020-22,2022,20,Overall,Overall,Overall,1049.7,7.5
Entire Network,COVID-NET,2020-22,2022,21,Overall,Overall,Overall,1057,7.3
Entire Network,COVID-NET,2020-22,2022,22,Overall,Overall,Overall,1064.5,7.6
Entire Network,COVID-NET,2020-22,2022,23,Overall,Overall,Overall,1071.9,7.4
Entire Network,COVID-NET,2020-22,2022,24,Overall,Overall,Overall,1079.2,7.3
Entire Network,COVID-NET,2020-22,2022,25,Overall,Overall,Overall,1087.4,8.2
Entire Network,COVID-NET,2020-22,2022,26,Overall,Overall,Overall,1095.5,8.2
Entire Network,COVID-NET,2020-22,2022,27,Overall,Overall,Overall,1104.4,8.9
Entire Network,COVID-NET,2020-22,2022,28,Overall,Overall,Overall,1113.7,9.3
Entire Network,COVID-NET,2020-22,2022,29,Overall,Overall,Overall,1123.2,9.5
Entire Network,COVID-NET,2020-22,2022,30,Overall,Overall,Overall,1132.8,9.6
Entire Network,COVID-NET,2020-22,2022,31,Overall,Overall,Overall,1142.3,9.5
Entire Network,COVID-NET,2020-22,2022,32,Overall,Overall,Overall,1151.4,9.2
Entire Network,COVID-NET,2020-22,2022,33,Overall,Overall,Overall,1160.1,8.7
Entire Network,COVID-NET,2020-22,2022,34,Overall,Overall,Overall,1168.6,8.5
Entire Network,COVID-NET,2020-22,2022,35,Overall,Overall,Overall,1175.9,7.4
Entire Network,COVID-NET,2020-22,2022,36,Overall,Overall,Overall,1182.9,7
Entire Network,COVID-NET,2020-22,2022,37,Overall,Overall,Overall,1189.4,6.5
Entire Network,COVID-NET,2020-22,2022,38,Overall,Overall,Overall,1195.7,6.4
Entire Network,COVID-NET,2020-22,2022,39,Overall,Overall,Overall,1201.4,5.8
Entire Network,COVID-NET,2020-22,2022,40,Overall,Overall,Overall,1207.4,6
Entire Network,COVID-NET,2020-22,2022,41,Overall,Overall,Overall,1213.5,6.1
Entire Network,COVID-NET,2020-22,2022,42,Overall,Overall,Overall,1219.7,6.3
Entire Network,COVID-NET,2020-22,2022,43,Overall,Overall,Overall,1225.8,6.1
Entire Network,COVID-NET,2020-22,2022,44,Overall,Overall,Overall,1232.3,6.5
Entire Network,COVID-NET,2020-22,2022,45,Overall,Overall,Overall,1239.1,6.8
Entire Network,COVID-NET,2020-22,2022,46,Overall,Overall,Overall,1245.9,6.9
Entire Network,COVID-NET,2020-22,2022,47,Overall,Overall,Overall,1253.4,7.5
Entire Network,COVID-NET,2020-22,2022,48,Overall,Overall,Overall,1262.3,9
Entire Network,COVID-NET,2020-22,2022,49,Overall,Overall,Overall,1271.2,8.9
Entire Network,COVID-NET,2020-22,2022,50,Overall,Overall,Overall,1279.9,8.8
Entire Network,COVID-NET,2020-22,2022,51,Overall,Overall,Overall,1288.6,8.8
Entire Network,COVID-NET,2020-22,2022,52,Overall,Overall,Overall,1297.4,8.8
Entire Network,COVID-NET,2020-22,2023,1,Overall,Overall,Overall,1303.3,5.9
Entire Network,COVID-NET,2020-22,2023,2,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,3,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,4,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,5,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,6,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,7,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,8,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,9,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,10,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,11,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,12,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,13,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,14,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,15,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,16,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,17,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,18,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,19,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,20,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,21,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,22,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,23,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,24,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,25,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,26,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,27,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,28,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,29,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,30,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,31,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,32,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,33,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,34,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,35,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,36,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,37,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,38,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,39,Overall,Overall,Overall,null,null
Entire Network,COVID-NET,2020-22,2023,40,Overall,Overall,Overall,null,null
