CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE
Entire Network,FluSurv-NET,2016-17,2016,40,Overall,Overall,Overall,0.1,0.1
Entire Network,FluSurv-NET,2016-17,2016,41,Overall,Overall,Overall,0.2,0.1
Entire Network,FluSurv-NET,2016-17,2016,42,Overall,Overall,Overall,0.3,0.1
Entire Network,FluSurv-NET,2016-17,2016,43,Overall,Overall,Overall,0.4,0.1
Entire Network,FluSurv-NET,2016-17,2016,44,Overall,Overall,Overall,0.6,0.1
Entire Network,FluSurv-NET,2016-17,2016,45,Overall,Overall,Overall,0.8,0.2
Entire Network,FluSurv-NET,2016-17,2016,46,Overall,Overall,Overall,1,0.2
Entire Network,FluSurv-NET,2016-17,2016,47,Overall,Overall,Overall,1.3,0.3
Entire Network,FluSurv-NET,2016-17,2016,48,Overall,Overall,Overall,1.7,0.4
Entire Network,FluSurv-NET,2016-17,2016,49,Overall,Overall,Overall,2.3,0.6
Entire Network,FluSurv-NET,2016-17,2016,50,Overall,Overall,Overall,3.1,0.8
Entire Network,FluSurv-NET,2016-17,2016,51,Overall,Overall,Overall,4.7,1.6
Entire Network,FluSurv-NET,2016-17,2016,52,Overall,Overall,Overall,8,3.3
Entire Network,FluSurv-NET,2016-17,2017,1,Overall,Overall,Overall,12.2,4.2
Entire Network,FluSurv-NET,2016-17,2017,2,Overall,Overall,Overall,16,3.8
Entire Network,FluSurv-NET,2016-17,2017,3,Overall,Overall,Overall,19.9,3.8
Entire Network,FluSurv-NET,2016-17,2017,4,Overall,Overall,Overall,23.2,3.4
Entire Network,FluSurv-NET,2016-17,2017,5,Overall,Overall,Overall,27,3.8
Entire Network,FluSurv-NET,2016-17,2017,6,Overall,Overall,Overall,31.7,4.7
Entire Network,FluSurv-NET,2016-17,2017,7,Overall,Overall,Overall,36.8,5.1
Entire Network,FluSurv-NET,2016-17,2017,8,Overall,Overall,Overall,42.1,5.4
Entire Network,FluSurv-NET,2016-17,2017,9,Overall,Overall,Overall,45.4,3.3
Entire Network,FluSurv-NET,2016-17,2017,10,Overall,Overall,Overall,48.3,2.9
Entire Network,FluSurv-NET,2016-17,2017,11,Overall,Overall,Overall,51.1,2.8
Entire Network,FluSurv-NET,2016-17,2017,12,Overall,Overall,Overall,54.2,3.1
Entire Network,FluSurv-NET,2016-17,2017,13,Overall,Overall,Overall,57,2.8
Entire Network,FluSurv-NET,2016-17,2017,14,Overall,Overall,Overall,59,2
Entire Network,FluSurv-NET,2016-17,2017,15,Overall,Overall,Overall,60.4,1.4
Entire Network,FluSurv-NET,2016-17,2017,16,Overall,Overall,Overall,61.4,1
Entire Network,FluSurv-NET,2016-17,2017,17,Overall,Overall,Overall,62,0.6
Entire Network,FluSurv-NET,2017-18,2017,40,Overall,Overall,Overall,0.1,0.1
Entire Network,FluSurv-NET,2017-18,2017,41,Overall,Overall,Overall,0.2,0.1
Entire Network,FluSurv-NET,2017-18,2017,42,Overall,Overall,Overall,0.5,0.2
Entire Network,FluSurv-NET,2017-18,2017,43,Overall,Overall,Overall,0.7,0.2
Entire Network,FluSurv-NET,2017-18,2017,44,Overall,Overall,Overall,1,0.3
Entire Network,FluSurv-NET,2017-18,2017,45,Overall,Overall,Overall,1.3,0.3
Entire Network,FluSurv-NET,2017-18,2017,46,Overall,Overall,Overall,1.8,0.4
Entire Network,FluSurv-NET,2017-18,2017,47,Overall,Overall,Overall,2.5,0.8
Entire Network,FluSurv-NET,2017-18,2017,48,Overall,Overall,Overall,3.7,1.2
Entire Network,FluSurv-NET,2017-18,2017,49,Overall,Overall,Overall,5.1,1.4
Entire Network,FluSurv-NET,2017-18,2017,50,Overall,Overall,Overall,7.4,2.3
Entire Network,FluSurv-NET,2017-18,2017,51,Overall,Overall,Overall,12,4.6
Entire Network,FluSurv-NET,2017-18,2017,52,Overall,Overall,Overall,20.2,8.2
Entire Network,FluSurv-NET,2017-18,2018,1,Overall,Overall,Overall,30.5,10.2
Entire Network,FluSurv-NET,2017-18,2018,2,Overall,Overall,Overall,40.3,9.8
Entire Network,FluSurv-NET,2017-18,2018,3,Overall,Overall,Overall,49.2,8.9
Entire Network,FluSurv-NET,2017-18,2018,4,Overall,Overall,Overall,57.7,8.5
Entire Network,FluSurv-NET,2017-18,2018,5,Overall,Overall,Overall,65.5,7.8
Entire Network,FluSurv-NET,2017-18,2018,6,Overall,Overall,Overall,72.5,7
Entire Network,FluSurv-NET,2017-18,2018,7,Overall,Overall,Overall,78.8,6.3
Entire Network,FluSurv-NET,2017-18,2018,8,Overall,Overall,Overall,84,5.2
Entire Network,FluSurv-NET,2017-18,2018,9,Overall,Overall,Overall,87.5,3.6
Entire Network,FluSurv-NET,2017-18,2018,10,Overall,Overall,Overall,90.3,2.8
Entire Network,FluSurv-NET,2017-18,2018,11,Overall,Overall,Overall,93.1,2.8
Entire Network,FluSurv-NET,2017-18,2018,12,Overall,Overall,Overall,95.4,2.3
Entire Network,FluSurv-NET,2017-18,2018,13,Overall,Overall,Overall,97.6,2.2
Entire Network,FluSurv-NET,2017-18,2018,14,Overall,Overall,Overall,99.5,1.9
Entire Network,FluSurv-NET,2017-18,2018,15,Overall,Overall,Overall,100.8,1.3
Entire Network,FluSurv-NET,2017-18,2018,16,Overall,Overall,Overall,101.9,1
Entire Network,FluSurv-NET,2017-18,2018,17,Overall,Overall,Overall,102.9,1
Entire Network,FluSurv-NET,2018-19,2018,40,Overall,Overall,Overall,0.1,0.1
Entire Network,FluSurv-NET,2018-19,2018,41,Overall,Overall,Overall,0.2,0.1
Entire Network,FluSurv-NET,2018-19,2018,42,Overall,Overall,Overall,0.3,0.1
Entire Network,FluSurv-NET,2018-19,2018,43,Overall,Overall,Overall,0.4,0.1
Entire Network,FluSurv-NET,2018-19,2018,44,Overall,Overall,Overall,0.5,0.2
Entire Network,FluSurv-NET,2018-19,2018,45,Overall,Overall,Overall,0.7,0.2
Entire Network,FluSurv-NET,2018-19,2018,46,Overall,Overall,Overall,1,0.2
Entire Network,FluSurv-NET,2018-19,2018,47,Overall,Overall,Overall,1.3,0.3
Entire Network,FluSurv-NET,2018-19,2018,48,Overall,Overall,Overall,1.8,0.6
Entire Network,FluSurv-NET,2018-19,2018,49,Overall,Overall,Overall,2.5,0.7
Entire Network,FluSurv-NET,2018-19,2018,50,Overall,Overall,Overall,3.7,1.2
Entire Network,FluSurv-NET,2018-19,2018,51,Overall,Overall,Overall,5.6,1.9
Entire Network,FluSurv-NET,2018-19,2018,52,Overall,Overall,Overall,8.6,2.9
Entire Network,FluSurv-NET,2018-19,2019,1,Overall,Overall,Overall,11.6,3
Entire Network,FluSurv-NET,2018-19,2019,2,Overall,Overall,Overall,14.1,2.5
Entire Network,FluSurv-NET,2018-19,2019,3,Overall,Overall,Overall,16.3,2.1
Entire Network,FluSurv-NET,2018-19,2019,4,Overall,Overall,Overall,18.6,2.3
Entire Network,FluSurv-NET,2018-19,2019,5,Overall,Overall,Overall,21.6,3
Entire Network,FluSurv-NET,2018-19,2019,6,Overall,Overall,Overall,25,3.5
Entire Network,FluSurv-NET,2018-19,2019,7,Overall,Overall,Overall,28.9,3.8
Entire Network,FluSurv-NET,2018-19,2019,8,Overall,Overall,Overall,33.5,4.6
Entire Network,FluSurv-NET,2018-19,2019,9,Overall,Overall,Overall,38.1,4.6
Entire Network,FluSurv-NET,2018-19,2019,10,Overall,Overall,Overall,43.3,5.2
Entire Network,FluSurv-NET,2018-19,2019,11,Overall,Overall,Overall,48.8,5.5
Entire Network,FluSurv-NET,2018-19,2019,12,Overall,Overall,Overall,53.6,4.8
Entire Network,FluSurv-NET,2018-19,2019,13,Overall,Overall,Overall,57.2,3.6
Entire Network,FluSurv-NET,2018-19,2019,14,Overall,Overall,Overall,59.9,2.7
Entire Network,FluSurv-NET,2018-19,2019,15,Overall,Overall,Overall,61.7,1.8
Entire Network,FluSurv-NET,2018-19,2019,16,Overall,Overall,Overall,62.8,1.1
Entire Network,FluSurv-NET,2018-19,2019,17,Overall,Overall,Overall,63.6,0.8
Entire Network,FluSurv-NET,2022-23,2022,40,Overall,Overall,Overall,0.4,0.4
Entire Network,FluSurv-NET,2022-23,2022,41,Overall,Overall,Overall,1,0.6
Entire Network,FluSurv-NET,2022-23,2022,42,Overall,Overall,Overall,2,1
Entire Network,FluSurv-NET,2022-23,2022,43,Overall,Overall,Overall,3.8,1.8
Entire Network,FluSurv-NET,2022-23,2022,44,Overall,Overall,Overall,6.3,2.5
Entire Network,FluSurv-NET,2022-23,2022,45,Overall,Overall,Overall,9.5,3.2
Entire Network,FluSurv-NET,2022-23,2022,46,Overall,Overall,Overall,13.4,3.9
Entire Network,FluSurv-NET,2022-23,2022,47,Overall,Overall,Overall,20.5,7
Entire Network,FluSurv-NET,2022-23,2022,48,Overall,Overall,Overall,29.1,8.7
Entire Network,FluSurv-NET,2022-23,2022,49,Overall,Overall,Overall,36.4,7.2
Entire Network,FluSurv-NET,2022-23,2022,50,Overall,Overall,Overall,42.6,6.2
Entire Network,FluSurv-NET,2022-23,2022,51,Overall,Overall,Overall,47.8,5.2
Entire Network,FluSurv-NET,2022-23,2022,52,Overall,Overall,Overall,52.3,4.6
Entire Network,FluSurv-NET,2022-23,2023,1,Overall,Overall,Overall,54.4,2
Entire Network,FluSurv-NET,2022-23,2023,2,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,3,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,4,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,5,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,6,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,7,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,8,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,9,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,10,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,11,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,12,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,13,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,14,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,15,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,16,Overall,Overall,Overall,null,null
Entire Network,FluSurv-NET,2022-23,2023,17,Overall,Overall,Overall,null,null
