data_source,year,week,age_group,hsp_rate_flu
FluSurv-NET,2016,40,ALL,0.1
FluSurv-NET,2016,41,ALL,0.1
FluSurv-NET,2016,42,ALL,0.1
FluSurv-NET,2016,43,ALL,0.1
FluSurv-NET,2016,44,ALL,0.1
FluSurv-NET,2016,45,ALL,0.2
FluSurv-NET,2016,46,ALL,0.2
FluSurv-NET,2016,47,ALL,0.3
FluSurv-NET,2016,48,ALL,0.4
FluSurv-NET,2016,49,ALL,0.6
FluSurv-NET,2016,50,ALL,0.8
FluSurv-NET,2016,51,ALL,1.6
FluSurv-NET,2016,52,ALL,3.3
FluSurv-NET,2017,1,ALL,4.2
FluSurv-NET,2017,2,ALL,3.8
FluSurv-NET,2017,3,ALL,3.8
FluSurv-NET,2017,4,ALL,3.4
FluSurv-NET,2017,5,ALL,3.8
FluSurv-NET,2017,6,ALL,4.7
FluSurv-NET,2017,7,ALL,5.1
FluSurv-NET,2017,8,ALL,5.4
FluSurv-NET,2017,9,ALL,3.3
FluSurv-NET,2017,10,ALL,2.9
FluSurv-NET,2017,11,ALL,2.8
FluSurv-NET,2017,12,ALL,3.1
FluSurv-NET,2017,13,ALL,2.8
FluSurv-NET,2017,14,ALL,2
FluSurv-NET,2017,15,ALL,1.4
FluSurv-NET,2017,16,ALL,1
FluSurv-NET,2017,17,ALL,0.6
FluSurv-NET,2016,40,0-4,0.1
FluSurv-NET,2016,41,0-4,0.1
FluSurv-NET,2016,42,0-4,0
FluSurv-NET,2016,43,0-4,0
FluSurv-NET,2016,44,0-4,0
FluSurv-NET,2016,45,0-4,0.2
FluSurv-NET,2016,46,0-4,0.1
FluSurv-NET,2016,47,0-4,0.2
FluSurv-NET,2016,48,0-4,0.3
FluSurv-NET,2016,49,0-4,0.6
FluSurv-NET,2016,50,0-4,0.4
FluSurv-NET,2016,51,0-4,1.6
FluSurv-NET,2016,52,0-4,1.3
FluSurv-NET,2017,1,0-4,1.1
FluSurv-NET,2017,2,0-4,1.5
FluSurv-NET,2017,3,0-4,1.8
FluSurv-NET,2017,4,0-4,2.2
FluSurv-NET,2017,5,0-4,2.4
FluSurv-NET,2017,6,0-4,3.5
FluSurv-NET,2017,7,0-4,4.2
FluSurv-NET,2017,8,0-4,4.1
FluSurv-NET,2017,9,0-4,2.7
FluSurv-NET,2017,10,0-4,1.9
FluSurv-NET,2017,11,0-4,2.1
FluSurv-NET,2017,12,0-4,2.5
FluSurv-NET,2017,13,0-4,2
FluSurv-NET,2017,14,0-4,1.7
FluSurv-NET,2017,15,0-4,0.9
FluSurv-NET,2017,16,0-4,0.9
FluSurv-NET,2017,17,0-4,0.4
FluSurv-NET,2016,40,5-17,0
FluSurv-NET,2016,41,5-17,0
FluSurv-NET,2016,42,5-17,0
FluSurv-NET,2016,43,5-17,0.1
FluSurv-NET,2016,44,5-17,0
FluSurv-NET,2016,45,5-17,0
FluSurv-NET,2016,46,5-17,0
FluSurv-NET,2016,47,5-17,0
FluSurv-NET,2016,48,5-17,0.1
FluSurv-NET,2016,49,5-17,0.1
FluSurv-NET,2016,50,5-17,0.2
FluSurv-NET,2016,51,5-17,0.3
FluSurv-NET,2016,52,5-17,0.3
FluSurv-NET,2017,1,5-17,0.2
FluSurv-NET,2017,2,5-17,0.7
FluSurv-NET,2017,3,5-17,0.9
FluSurv-NET,2017,4,5-17,0.7
FluSurv-NET,2017,5,5-17,1.1
FluSurv-NET,2017,6,5-17,1.3
