data_source,year,week,age_group,hsp_rate_rsv
Entire Network (RSV-NET),2016,40,ALL,0
Entire Network (RSV-NET),2016,41,ALL,0
Entire Network (RSV-NET),2016,42,ALL,0
Entire Network (RSV-NET),2016,43,ALL,0
Entire Network (RSV-NET),2016,44,ALL,0
Entire Network (RSV-NET),2016,45,ALL,0.1
Entire Network (RSV-NET),2016,46,ALL,0
Entire Network (RSV-NET),2016,47,ALL,0.2
Entire Network (RSV-NET),2016,48,ALL,0.2
Entire Network (RSV-NET),2016,49,ALL,0.2
Entire Network (RSV-NET),2016,50,ALL,0.3
Entire Network (RSV-NET),2016,51,ALL,0.4
Entire Network (RSV-NET),2016,52,ALL,0.6
Entire Network (RSV-NET),2017,1,ALL,0.7
Entire Network (RSV-NET),2017,2,ALL,0.7
Entire Network (RSV-NET),2017,3,ALL,0.5
Entire Network (RSV-NET),2017,4,ALL,0.6
Entire Network (RSV-NET),2017,5,ALL,0.6
Entire Network (RSV-NET),2017,6,ALL,0.5
Entire Network (RSV-NET),2017,7,ALL,0.5
Entire Network (RSV-NET),2017,8,ALL,0.4
Entire Network (RSV-NET),2017,9,ALL,0.4
Entire Network (RSV-NET),2017,10,ALL,0.4
Entire Network (RSV-NET),2017,11,ALL,0.3
Entire Network (RSV-NET),2017,12,ALL,0.2
Entire Network (RSV-NET),2017,13,ALL,0.2
Entire Network (RSV-NET),2017,14,ALL,0.2
Entire Network (RSV-NET),2017,15,ALL,0.1
Entire Network (RSV-NET),2017,16,ALL,0.1
Entire Network (RSV-NET),2017,17,ALL,0.1
Entire Network (RSV-NET),2017,18,ALL,0
Entire Network (RSV-NET),2017,40,ALL,0
Entire Network (RSV-NET),2017,41,ALL,0
Entire Network (RSV-NET),2017,42,ALL,0
Entire Network (RSV-NET),2017,43,ALL,0
Entire Network (RSV-NET),2017,44,ALL,0.1
Entire Network (RSV-NET),2017,45,ALL,0.1
Entire Network (RSV-NET),2017,46,ALL,0.1
Entire Network (RSV-NET),2017,47,ALL,0.1
Entire Network (RSV-NET),2017,48,ALL,0.2
Entire Network (RSV-NET),2017,49,ALL,0.2
Entire Network (RSV-NET),2017,50,ALL,0.3
Entire Network (RSV-NET),2017,51,ALL,0.3
Entire Network (RSV-NET),2017,52,ALL,0.5
Entire Network (RSV-NET),2018,1,ALL,0.7
Entire Network (RSV-NET),2018,2,ALL,0.7
Entire Network (RSV-NET),2018,3,ALL,0.6
Entire Network (RSV-NET),2018,4,ALL,0.6
Entire Network (RSV-NET),2018,5,ALL,0.6
