Date,,AUS
15/03,2020,
16/03,2020,
17/03,2020,
18/03,2020,
19/03,2020,
20/03,2020,
21/03,2020,
22/03,2020,
23/03,2020,
24/03,2020,
25/03,2020,
26/03,2020,
27/03,2020,
28/03,2020,
29/03,2020,
30/03,2020,295
31/03,2020,268
01/04,2020,396
02/04,2020,414
03/04,2020,410
04/04,2020,
05/04,2020,408
06/04,2020,448
07/04,2020,305
08/04,2020,263
09/04,2020,262
10/04,2020,236
11/04,2020,240
12/04,2020,239
13/04,2020,227
14/04,2020,230
15/04,2020,214
16/04,2020,201
17/04,2020,192
18/04,2020,184
19/04,2020,177
20/04,2020,170
21/04,2020,167
22/04,2020,162
23/04,2020,152
24/04,2020,138
25/04,2020,129
26/04,2020,115
27/04,2020,113
28/04,2020,109
29/04,2020,93
30/04,2020,89
01/05,2020,83
02/05,2020,79
03/05,2020,75
04/05,2020,70
05/05,2020,66
06/05,2020,62
07/05,2020,58
08/05,2020,56
09/05,2020,51
10/05,2020,43
11/05,2020,49
12/05,2020,47
13/05,2020,50
14/05,2020,51
15/05,2020,46
16/05,2020,49
17/05,2020,50
18/05,2020,45
19/05,2020,47
20/05,2020,43
21/05,2020,41
22/05,2020,39
23/05,2020,35
24/05,2020,33
25/05,2020,31
26/05,2020,30
27/05,2020,30
28/05,2020,27
29/05,2020,23
30/05,2020,22
31/05,2020,21
01/06,2020,20
02/06,2020,26
03/06,2020,25
04/06,2020,23
05/06,2020,21
06/06,2020,21
07/06,2020,18
08/06,2020,19
09/06,2020,19
10/06,2020,20
11/06,2020,18
12/06,2020,17
13/06,2020,16
14/06,2020,16
15/06,2020,17
16/06,2020,17
17/06,2020,16
18/06,2020,14
19/06,2020,15
20/06,2020,17
21/06,2020,15
22/06,2020,16
23/06,2020,19
24/06,2020,16
25/06,2020,16
26/06,2020,12
27/06,2020,12
28/06,2020,11
29/06,2020,15
30/06,2020,14
01/07,2020,18
02/07,2020,24
03/07,2020,27
04/07,2020,29
05/07,2020,30
06/07,2020,34
07/07,2020,39
08/07,2020,46
09/07,2020,45
10/07,2020,54
11/07,2020,55
12/07,2020,67
13/07,2020,92
14/07,2020,90
15/07,2020,111
16/07,2020,114
17/07,2020,126
18/07,2020,116
19/07,2020,135
20/07,2020,156
21/07,2020,183
22/07,2020,214
23/07,2020,211
24/07,2020,217
25/07,2020,239
26/07,2020,241
27/07,2020,259
28/07,2020,275
29/07,2020,323
30/07,2020,330
31/07,2020,366
01/08,2020,401
02/08,2020,408
03/08,2020,439
04/08,2020,483
05/08,2020,538
06/08,2020,600
07/08,2020,632
08/08,2020,659
09/08,2020,658
10/08,2020,664
11/08,2020,673
12/08,2020,685
13/08,2020,686
14/08,2020,679
15/08,2020,681
16/08,2020,680
17/08,2020,674
18/08,2020,682
19/08,2020,694
20/08,2020,642
21/08,2020,647
22/08,2020,631
23/08,2020,604
24/08,2020,659
25/08,2020,644
26/08,2020,603
27/08,2020,558
28/08,2020,543
29/08,2020,510
30/08,2020,501
31/08,2020,481
01/09,2020,450
02/09,2020,432
03/09,2020,391
04/09,2020,357
05/09,2020,327
06/09,2020,311
07/09,2020,295
08/09,2020,264
09/09,2020,221
10/09,2020,195
11/09,2020,162
12/09,2020,151
13/09,2020,137
14/09,2020,141
15/09,2020,139
16/09,2020,126
17/09,2020,117
18/09,2020,108
19/09,2020,106
20/09,2020,109
21/09,2020,107
22/09,2020,100
23/09,2020,89
24/09,2020,81
25/09,2020,71
26/09,2020,68
27/09,2020,65
28/09,2020,62
29/09,2020,60
30/09,2020,55
01/10,2020,50
02/10,2020,51
03/10,2020,49
04/10,2020,46
05/10,2020,46
06/10,2020,37
07/10,2020,32
08/10,2020,31
09/10,2020,28
10/10,2020,31
11/10,2020,31
12/10,2020,32
13/10,2020,31
14/10,2020,28
15/10,2020,26
16/10,2020,20
17/10,2020,18
18/10,2020,16
19/10,2020,17
20/10,2020,17
21/10,2020,16
22/10,2020,16
23/10,2020,20
24/10,2020,18
25/10,2020,17
26/10,2020,16
27/10,2020,15
28/10,2020,13
29/10,2020,19
30/10,2020,20
31/10,2020,17
01/11,2020,17
02/11,2020,16
03/11,2020,15
04/11,2020,20
05/11,2020,21
06/11,2020,20
07/11,2020,19
08/11,2020,19
09/11,2020,20
10/11,2020,20
11/11,2020,22
12/11,2020,22
13/11,2020,22
14/11,2020,21
15/11,2020,22
16/11,2020,24
17/11,2020,23
18/11,2020,22
19/11,2020,26
20/11,2020,23
21/11,2020,25
22/11,2020,22
23/11,2020,21
24/11,2020,25
25/11,2020,24
26/11,2020,24
27/11,2020,22
28/11,2020,21
29/11,2020,21
30/11,2020,22
01/12,2020,21
02/12,2020,21
03/12,2020,26
04/12,2020,27
05/12,2020,28
06/12,2020,29
07/12,2020,33
08/12,2020,37
09/12,2020,32
10/12,2020,38
11/12,2020,38
12/12,2020,37
13/12,2020,34
14/12,2020,28
15/12,2020,31
16/12,2020,28
17/12,2020,29
18/12,2020,24
19/12,2020,25
20/12,2020,26
21/12,2020,23
22/12,2020,22
23/12,2020,20
24/12,2020,21
25/12,2020,24
26/12,2020,23
27/12,2020,25
28/12,2020,19
29/12,2020,24
30/12,2020,19
31/12,2020,22
01/01,2021,19
02/01,2021,25
03/01,2021,26
04/01,2021,26
05/01,2021,32
06/01,2021,36
07/01,2021,38
08/01,2021,41
09/01,2021,40
10/01,2021,41
11/01,2021,45
12/01,2021,47
13/01,2021,44
14/01,2021,46
15/01,2021,51
16/01,2021,47
17/01,2021,38
18/01,2021,34
19/01,2021,32
20/01,2021,36
21/01,2021,32
22/01,2021,34
23/01,2021,32
24/01,2021,26
25/01,2021,25
26/01,2021,28
27/01,2021,21
28/01,2021,21
29/01,2021,20
30/01,2021,14
31/01,2021,14
01/02,2021,10
02/02,2021,9
03/02,2021,9
04/02,2021,10
05/02,2021,9
06/02,2021,9
07/02,2021,11
08/02,2021,10
09/02,2021,11
10/02,2021,12
11/02,2021,12
12/02,2021,12
13/02,2021,11
14/02,2021,12
15/02,2021,14
16/02,2021,12
17/02,2021,12
18/02,2021,11
19/02,2021,10
20/02,2021,10
21/02,2021,10
22/02,2021,11
23/02,2021,12
24/02,2021,12
25/02,2021,13
26/02,2021,17
27/02,2021,21
28/02,2021,19
01/03,2021,17
02/03,2021,24
03/03,2021,20
04/03,2021,26
05/03,2021,25
06/03,2021,27
07/03,2021,29
08/03,2021,29
09/03,2021,37
10/03,2021,42
11/03,2021,46
12/03,2021,44
13/03,2021,48
14/03,2021,41
15/03,2021,37
16/03,2021,43
17/03,2021,47
18/03,2021,46
19/03,2021,63
20/03,2021,64
21/03,2021,60
22/03,2021,64
23/03,2021,66
24/03,2021,72
25/03,2021,71
26/03,2021,73
27/03,2021,75
28/03,2021,77
29/03,2021,78
30/03,2021,83
31/03,2021,76
01/04,2021,87
02/04,2021,86
03/04,2021,78
04/04,2021,81
05/04,2021,84
06/04,2021,79
07/04,2021,82
08/04,2021,76
09/04,2021,76
10/04,2021,69
11/04,2021,65
12/04,2021,62
13/04,2021,63
14/04,2021,59
15/04,2021,50
16/04,2021,46
17/04,2021,44
18/04,2021,44
19/04,2021,44
20/04,2021,48
21/04,2021,47
22/04,2021,47
23/04,2021,61
24/04,2021,67
25/04,2021,68
26/04,2021,73
27/04,2021,71
28/04,2021,75
29/04,2021,69
30/04,2021,72
01/05,2021,73
02/05,2021,63
03/05,2021,59
04/05,2021,60
05/05,2021,54
06/05,2021,46
07/05,2021,39
08/05,2021,38
09/05,2021,35
10/05,2021,35
11/05,2021,32
12/05,2021,31
13/05,2021,27
14/05,2021,24
15/05,2021,24
16/05,2021,23
17/05,2021,23
18/05,2021,25
19/05,2021,22
20/05,2021,22
21/05,2021,21
22/05,2021,22
23/05,2021,18
24/05,2021,19
25/05,2021,17
26/05,2021,20
27/05,2021,18
28/05,2021,19
29/05,2021,17
30/05,2021,19
31/05,2021,21
01/06,2021,17
02/06,2021,21
03/06,2021,20
04/06,2021,19
05/06,2021,17
06/06,2021,16
07/06,2021,17
08/06,2021,18
09/06,2021,14
10/06,2021,16
11/06,2021,16
12/06,2021,15
13/06,2021,16
14/06,2021,24
15/06,2021,26
16/06,2021,27
17/06,2021,35
18/06,2021,39
19/06,2021,36
20/06,2021,36
21/06,2021,40
22/06,2021,42
23/06,2021,45
24/06,2021,49
25/06,2021,52
26/06,2021,52
27/06,2021,56
28/06,2021,58
29/06,2021,59
30/06,2021,62
01/07,2021,67
02/07,2021,73
03/07,2021,66
04/07,2021,75
05/07,2021,81
06/07,2021,83
07/07,2021,97
08/07,2021,103
09/07,2021,104
10/07,2021,112
11/07,2021,113
12/07,2021,126
13/07,2021,125
14/07,2021,128
15/07,2021,132
16/07,2021,132
17/07,2021,123
18/07,2021,124
19/07,2021,128
20/07,2021,142
21/07,2021,155
22/07,2021,155
23/07,2021,173
24/07,2021,174
25/07,2021,180
26/07,2021,191
27/07,2021,207
28/07,2021,201
29/07,2021,243
30/07,2021,247
31/07,2021,247
01/08,2021,295
02/08,2021,314
03/08,2021,350
04/08,2021,365
05/08,2021,369
06/08,2021,388
07/08,2021,426
08/08,2021,441
09/08,2021,426
10/08,2021,432
11/08,2021,440
12/08,2021,428
13/08,2021,439
14/08,2021,427
15/08,2021,423
16/08,2021,439
17/08,2021,493
18/08,2021,503
19/08,2021,514
20/08,2021,511
21/08,2021,554
22/08,2021,603
23/08,2021,641
24/08,2021,667
25/08,2021,708
26/08,2021,765
27/08,2021,836
28/08,2021,853
29/08,2021,888
30/08,2021,925
31/08,2021,951
01/09,2021,999
02/09,2021,1047
03/09,2021,1068
04/09,2021,1138
05/09,2021,1137
06/09,2021,1187
07/09,2021,1278
08/09,2021,1276
09/09,2021,1305
10/09,2021,1318
11/09,2021,"1,338"
12/09,2021,1379
13/09,2021,1375
14/09,2021,1442
15/09,2021,1442
16/09,2021,1444
17/09,2021,1484
18/09,2021,"1,455"
19/09,2021,"1,468"
20/09,2021,"1,442"
21/09,2021,1541
22/09,2021,1518
23/09,2021,1530
24/09,2021,"1,512"
25/09,2021,"1,529"
26/09,2021,"1,493"
27/09,2021,"1,538"
28/09,2021,"1,551"
29/09,2021,"1,479"
30/09,2021,1514
01/10,2021,"1,483"
02/10,2021,"1,468"
03/10,2021,1494
04/10,2021,1500
05/10,2021,1537
06/10,2021,1528
07/10,2021,1520
08/10,2021,1522
09/10,2021,1437
10/10,2021,1446
11/10,2021,1492
12/10,2021,1486
13/10,2021,1463
14/10,2021,1459
15/10,2021,1414
16/10,2021,1493
17/10,2021,1441
18/10,2021,1502
19/10,2021,1416
20/10,2021,1379
21/10,2021,1344
22/10,2021,1310
23/10,2021,1285
24/10,2021,1307
25/10,2021,1318
26/10,2021,1310
27/10,2021,1192
28/10,2021,1151
29/10,2021,1126
30/10,2021,1113
31/10,2021,1064
01/11,2021,1068
02/11,2021,1019
03/11,2021,984
04/11,2021,978
05/11,2021,932
06/11,2021,934
07/11,2021,851
08/11,2021,835
09/11,2021,851
10/11,2021,725
11/11,2021,702
12/11,2021,681
13/11,2021,654
14/11,2021,638
15/11,2021,615
16/11,2021,632
17/11,2021,598
18/11,2021,574
19/11,2021,559
20/11,2021,538
21/11,2021,547
22/11,2021,564
23/11,2021,550
24/11,2021,531
25/11,2021,563
26/11,2021,557
27/11,2021,536
28/11,2021,512
29/11,2021,542
30/11,2021,543
01/12,2021,532
02/12,2021,513
03/12,2021,511
04/12,2021,517
05/12,2021,541
06/12,2021,562
07/12,2021,543
08/12,2021,529
09/12,2021,539
10/12,2021,544
11/12,2021,537
12/12,2021,535
13/12,2021,569
14/12,2021,610
15/12,2021,625
16/12,2021,672
17/12,2021,716
18/12,2021,717
19/12,2021,759
20/12,2021,755
21/12,2021,776
22/12,2021,794
23/12,2021,862
24/12,2021,910
25/12,2021,893
26/12,2021,968
27/12,2021,1000
28/12,2021,1066
29/12,2021,1176
30/12,2021,1308
31/12,2021,1460
01/01,2022,1605
02/01,2022,1827
03/01,2022,"2,003"
04/01,2022,2206
05/01,2022,2523
06/01,2022,2707
07/01,2022,2904
08/01,2022,3107
09/01,2022,3323
10/01,2022,3544
11/01,2022,3865
12/01,2022,4000
13/01,2022,4227
14/01,2022,"4,426"
15/01,2022,"4,603"
16/01,2022,"4,761"
17/01,2022,5046
18/01,2022,5237
19/01,2022,5307
20/01,2022,5277
21/01,2022,"5,147"
22/01,2022,"5,108"
23/01,2022,"5,036"
24/01,2022,"5,173"
25/01,2022,"5,391"
26/01,2022,"5,227"
27/01,2022,"5,090"
28/01,2022,"5,021"
29/01,2022,"4,953"
30/01,2022,"4,790"
31/01,2022,"4,947"
01/02,2022,"4,954"
02/02,2022,"4,665"
03/02,2022,"4,594"
04/02,2022,"4,448"
05/02,2022,"4,255"
