Año,Semana epidemiológica,virus,Subtipo Virus,Muestras positivas,,
2016,1,Influenza A,A no subtipificable,0,,
2016,1,Influenza A,A no subtipificado,0,,
2016,1,Influenza A,A(H1),0,,
2016,1,Influenza A,A(H1N1)pdm09,0,,
2016,1,Influenza A,A(H3),0,,
2016,1,,Adenovirus,0,,
2016,1,,Bocavirus,0,,
2016,1,COVID,Coronavirus,0,,
2016,1,,Metapneumovirus,0,,
2016,1,,Otros,0,,
2016,1,,Parainfluenza,3,,
2016,1,Influenza B,Positivo influenza  B,1,,
2016,1,,Rinovirus,0,,
2016,1,VRS,VRS,0,,
2016,2,Influenza A,A no subtipificable,0,,
2016,2,Influenza A,A no subtipificado,0,,
2016,2,Influenza A,A(H1),0,,
2016,2,Influenza A,A(H1N1)pdm09,0,,
2016,2,Influenza A,A(H3),0,,
2016,2,,Adenovirus,0,,
2016,2,,Bocavirus,0,,
2016,2,COVID,Coronavirus,0,,
2016,2,,Metapneumovirus,0,,
2016,2,,Otros,0,,
2016,2,,Parainfluenza,4,,
2016,2,Influenza B,Positivo influenza  B,1,,
2016,2,,Rinovirus,0,,
2016,2,VRS,VRS,1,,
2016,3,Influenza A,A no subtipificable,0,,
2016,3,Influenza A,A no subtipificado,0,,
2016,3,Influenza A,A(H1),0,,
2016,3,Influenza A,A(H1N1)pdm09,0,,
2016,3,Influenza A,A(H3),0,,
2016,3,,Adenovirus,2,,
2016,3,,Bocavirus,0,,
2016,3,COVID,Coronavirus,0,,
2016,3,,Metapneumovirus,0,,
2016,3,,Otros,0,,
2016,3,,Parainfluenza,2,,
2016,3,Influenza B,Positivo influenza  B,0,,
2016,3,,Rinovirus,0,,
2016,3,VRS,VRS,0,,
2016,4,Influenza A,A no subtipificable,0,,
2016,4,Influenza A,A no subtipificado,0,,
2016,4,Influenza A,A(H1),0,,
2016,4,Influenza A,A(H1N1)pdm09,0,,
2016,4,Influenza A,A(H3),0,,
2016,4,,Adenovirus,1,,
2016,4,,Bocavirus,0,,
2016,4,COVID,Coronavirus,0,,
2016,4,,Metapneumovirus,0,,
2016,4,,Otros,0,,
2016,4,,Parainfluenza,3,,
2016,4,Influenza B,Positivo influenza  B,0,,
2016,4,,Rinovirus,0,,
2016,4,VRS,VRS,0,,
2016,5,Influenza A,A no subtipificable,0,,
2016,5,Influenza A,A no subtipificado,0,,
2016,5,Influenza A,A(H1),0,,
2016,5,Influenza A,A(H1N1)pdm09,0,,
2016,5,Influenza A,A(H3),0,,
2016,5,,Adenovirus,2,,
2016,5,,Bocavirus,0,,
2016,5,COVID,Coronavirus,0,,
2016,5,,Metapneumovirus,0,,
2016,5,,Otros,0,,
2016,5,,Parainfluenza,2,,
2016,5,Influenza B,Positivo influenza  B,0,,
2016,5,,Rinovirus,0,,
2016,5,VRS,VRS,0,,
2016,6,Influenza A,A no subtipificable,0,,
2016,6,Influenza A,A no subtipificado,0,,
2016,6,Influenza A,A(H1),0,,
2016,6,Influenza A,A(H1N1)pdm09,0,,
2016,6,Influenza A,A(H3),0,,
2016,6,,Adenovirus,0,,
2016,6,,Bocavirus,0,,
2016,6,COVID,Coronavirus,0,,
2016,6,,Metapneumovirus,0,,
2016,6,,Otros,0,,
2016,6,,Parainfluenza,1,,
2016,6,Influenza B,Positivo influenza  B,0,,
2016,6,,Rinovirus,0,,
2016,6,VRS,VRS,0,,
2016,7,Influenza A,A no subtipificable,0,,
2016,7,Influenza A,A no subtipificado,1,=,
2016,7,Influenza A,A(H1),0,0,
2016,7,Influenza A,A(H1N1)pdm09,0,0,
2016,7,Influenza A,A(H3),1,0,
2016,7,,Adenovirus,3,0,
2016,7,,Bocavirus,0,0,
2016,7,COVID,Coronavirus,0,0,
2016,7,,Metapneumovirus,0,0,
2016,7,,Otros,0,0,
2016,7,,Parainfluenza,2,0,
2016,7,Influenza B,Positivo influenza  B,1,0,
2016,7,,Rinovirus,0,0,
2016,7,VRS,VRS,1,0,
2016,8,Influenza A,A no subtipificable,0,0,
2016,8,Influenza A,A no subtipificado,0,0,
2016,8,Influenza A,A(H1),0,0,
2016,8,Influenza A,A(H1N1)pdm09,0,0,
2016,8,Influenza A,A(H3),0,0,
2016,8,,Adenovirus,2,0,
2016,8,,Bocavirus,0,0,
2016,8,COVID,Coronavirus,0,0,
2016,8,,Metapneumovirus,0,0,
2016,8,,Otros,0,0,
2016,8,,Parainfluenza,0,0,
2016,8,Influenza B,Positivo influenza  B,0,0,
2016,8,,Rinovirus,0,0,
2016,8,VRS,VRS,1,0,
2016,9,Influenza A,A no subtipificable,0,0,
2016,9,Influenza A,A no subtipificado,0,0,
2016,9,Influenza A,A(H1),0,0,
2016,9,Influenza A,A(H1N1)pdm09,1,0,
2016,9,Influenza A,A(H3),0,0,
2016,9,,Adenovirus,0,0,
2016,9,,Bocavirus,0,0,
2016,9,COVID,Coronavirus,0,0,
2016,9,,Metapneumovirus,0,0,
2016,9,,Otros,0,0,
2016,9,,Parainfluenza,1,0,
2016,9,Influenza B,Positivo influenza  B,0,0,
2016,9,,Rinovirus,0,0,
2016,9,VRS,VRS,1,0,
2016,10,Influenza A,A no subtipificable,0,0,
2016,10,Influenza A,A no subtipificado,0,0,
2016,10,Influenza A,A(H1),0,0,
2016,10,Influenza A,A(H1N1)pdm09,0,0,
2016,10,Influenza A,A(H3),0,0,
2016,10,,Adenovirus,0,0,
2016,10,,Bocavirus,0,0,
2016,10,COVID,Coronavirus,0,0,
2016,10,,Metapneumovirus,0,0,
2016,10,,Otros,0,0,
2016,10,,Parainfluenza,0,0,
2016,10,Influenza B,Positivo influenza  B,0,0,
2016,10,,Rinovirus,0,0,
2016,10,VRS,VRS,1,0,
2016,11,Influenza A,A no subtipificable,0,0,11
2016,11,Influenza A,A no subtipificado,0,0,
2016,11,Influenza A,A(H1),0,0,11
