WHO region,Influenza transmission zone,"Country, area or territory",Surveillance site type,Year,Week,Start date,Specimens received,Specimens processed,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (Total),B (Yamagata lineage) ,B (Victoria lineage),B (not determined) ,B (Total),Influenza positive specimens,Influenza negative specimens,ILI activity
AMR,Temperate South America,Chile,Type not defined,2016,1,04/01/2016,,371,,1,,,,1,1,1,,2,3,333,No Report
AMR,Temperate South America,Chile,Type not defined,2016,2,11/01/2016,,324,,,2,,,2,1,1,,2,4,288,No Report
AMR,Temperate South America,Chile,Type not defined,2016,3,18/01/2016,,299,,,1,,,1,1,2,,3,4,266,No Report
AMR,Temperate South America,Chile,Type not defined,2016,4,25/01/2016,,285,,1,,,1,2,,1,,1,3,256,No Report
AMR,Temperate South America,Chile,Type not defined,2016,5,01/02/2016,,280,,1,,,,1,,1,,1,2,255,No Report
AMR,Temperate South America,Chile,Type not defined,2016,6,08/02/2016,,282,,2,,,,2,,1,,1,3,256,No Report
AMR,Temperate South America,Chile,Type not defined,2016,7,15/02/2016,,299,,4,1,,,5,1,1,1,3,8,268,No Report
AMR,Temperate South America,Chile,Type not defined,2016,8,22/02/2016,,318,,1,3,,,4,1,1,,2,6,294,No Report
AMR,Temperate South America,Chile,Type not defined,2016,9,29/02/2016,,316,,3,1,,,4,,,,,4,294,No Report
AMR,Temperate South America,Chile,Type not defined,2016,10,07/03/2016,,380,,2,,,,2,1,4,,5,7,361,No Report
AMR,Temperate South America,Chile,Type not defined,2016,11,14/03/2016,,475,,3,,,,3,1,4,,5,8,440,No Report
AMR,Temperate South America,Chile,Type not defined,2016,12,21/03/2016,,392,,5,,,,5,,3,,3,8,366,No Report
AMR,Temperate South America,Chile,Type not defined,2016,13,28/03/2016,,489,,1,,,,1,1,2,,3,4,450,No Report
AMR,Temperate South America,Chile,Type not defined,2016,14,04/04/2016,,509,,3,,,1,4,,2,1,3,7,472,No Report
AMR,Temperate South America,Chile,Type not defined,2016,15,11/04/2016,,518,,5,1,,,6,1,2,,3,9,469,No Report
AMR,Temperate South America,Chile,Type not defined,2016,16,18/04/2016,,549,,4,,,,4,1,2,,3,7,488,No Report
AMR,Temperate South America,Chile,Type not defined,2016,17,25/04/2016,,571,,9,,,1,10,,5,2,7,17,506,No Report
AMR,Temperate South America,Chile,Type not defined,2016,18,02/05/2016,,641,,9,,,,9,,2,,2,11,540,No Report
AMR,Temperate South America,Chile,Type not defined,2016,19,09/05/2016,,670,,13,,,1,14,1,7,3,11,25,539,No Report
AMR,Temperate South America,Chile,Type not defined,2016,20,16/05/2016,,797,,20,1,,3,24,1,5,2,8,32,613,No Report
AMR,Temperate South America,Chile,Type not defined,2016,21,23/05/2016,,856,,20,2,,1,23,1,15,,16,39,607,No Report
AMR,Temperate South America,Chile,Type not defined,2016,22,30/05/2016,,1117,,24,,,4,28,3,4,1,8,36,743,No Report
AMR,Temperate South America,Chile,Type not defined,2016,23,06/06/2016,,1189,,26,,,4,30,,11,5,16,46,741,No Report
AMR,Temperate South America,Chile,Type not defined,2016,24,13/06/2016,,1353,,47,2,,3,52,6,12,7,25,77,769,No Report
AMR,Temperate South America,Chile,Type not defined,2016,25,20/06/2016,,1618,,58,2,,1,61,4,18,7,29,90,825,No Report
AMR,Temperate South America,Chile,Type not defined,2016,26,27/06/2016,,1670,,71,5,,,76,4,30,4,38,114,893,No Report
AMR,Temperate South America,Chile,Type not defined,2016,27,04/07/2016,,1964,,117,3,,,120,2,32,6,40,160,982,No Report
AMR,Temperate South America,Chile,Type not defined,2016,28,11/07/2016,,2089,,122,7,,41,170,9,29,12,50,220,1061,No Report
AMR,Temperate South America,Chile,Type not defined,2016,29,18/07/2016,,2101,,175,10,,17,202,7,35,12,54,256,1067,No Report
AMR,Temperate South America,Chile,Type not defined,2016,30,25/07/2016,,1868,,191,8,,5,204,8,35,5,48,252,1055,No Report
AMR,Temperate South America,Chile,Type not defined,2016,31,01/08/2016,,1816,,196,17,,18,231,10,33,,43,274,989,No Report
AMR,Temperate South America,Chile,Type not defined,2016,32,08/08/2016,,1885,,169,13,,63,245,7,29,7,43,288,1103,No Report
