Country,Year,Population,Source
Germany,2016,82521653,Destatis - German Federal Statistical Office
Germany,2017,82792351,Destatis - German Federal Statistical Office
Germany,2018,83019213,Destatis - German Federal Statistical Office
Germany,2019,83166711,Destatis - German Federal Statistical Office
Germany,2020,83155031,Destatis - German Federal Statistical Office
Germany,2021,83237124,Destatis - German Federal Statistical Office
Germany,2022,84079811,Destatis - German Federal Statistical Office
Germany,2023,84300000,ESTIMATE Destatis - German Federal Statistical Office
France,2016,66688564,Insee - Institut national de la statistique et des etudes economiques
France,2017,66883321,Insee - Institut national de la statistique et des etudes economiques
France,2018,67125071,Insee - Institut national de la statistique et des etudes economiques
France,2019,67356052,Insee - Institut national de la statistique et des etudes economiques
France,2020,,
France,2021,,
France,2022,67885000,Insee - Institut national de la statistique et des etudes economiques
France,2023,,
Australia,2016,24103400,Australian Bureau of Statistics
Australia,2017,24512600,Australian Bureau of Statistics
Australia,2018,24884600,Australian Bureau of Statistics
Australia,2019,25269800,Australian Bureau of Statistics
Australia,2020,,
Australia,2021,,
Australia,2022,25978935,Australian Bureau of Statistics
Australia,2023,25978935,Australian Bureau of Statistics
