"","Week","Total","A00..04","A05..09","A10..14","A15..19","A20..24","A25..29","A30..34","A35..39","A40..44","A45..49","A50..54","A55..59","A60..64","A65..69","A70..74","A75..79","A80+","Unknown","year","pathogen"
"1",1,"0.4","2.16","0.89","0.24","0.29","0.39","0.34","0.33","0.51","0.41","0.35","0.23","0.26","0.17",0.18,0.3,0.11,0.14,NA,2016,"Flu"
"2",2,"0.7","3.17","2.35","0.49","0.55","0.52","0.63","0.57","0.59","0.89","0.64","0.63","0.45","0.34",0.44,0.16,0.16,0.1,NA,2016,"Flu"
"3",3,"1.33","6.36","6.45","2.09","1.08","0.5","1.19","1.03","1.29","1.33","0.78","0.73","0.77","0.62",0.31,0.38,0.39,0.18,NA,2016,"Flu"
"4",4,"2.72","13.82","11.59","4.62","1.82","1.07","1.71","2.74","2.87","2.65","2.12","1.7","1.54","1.17",0.66,0.6,0.46,0.47,NA,2016,"Flu"
"5",5,"3.65","16.88","13.59","5.68","2.9","1.7","2.59","3.6","3.86","3.09","3.16","2.36","2.62","1.82",1.32,1.04,1.15,0.71,NA,2016,"Flu"
"6",6,"3.83","18.32","15.41","4.89","3.02","1.77","3.17","3.75","4.17","3.4","2.92","2.46","2.41","1.97",1.21,1.37,1.1,0.57,NA,2016,"Flu"
"7",7,"5.38","24.05","22.52","6.52","3.9","2.73","4.27","5.56","4.73","4.98","4.73","3.94","3.89","2.92",1.8,1.34,1.01,1.13,NA,2016,"Flu"
"8",8,"7.69","31.98","31.6","13.67","7.23","3.89","5.53","7.64","7.75","6.76","5.94","4.97","4.95","3.52",2.54,2.65,1.91,1.84,NA,2016,"Flu"
"9",9,"9.35","34.3","42.28","18.51","10.51","4.74","8.03","9.14","8.48","7.57","6.82","6.27","4.89","4.3",3.16,3.26,2.71,1.54,NA,2016,"Flu"
"10",10,"12.16","44.1","58.44","25.88","14.97","6.71","9.78","11.82","10.84","8.9","7.87","7.02","6.51","5.4",4.03,4.27,3.17,2.14,NA,2016,"Flu"
"11",11,"13.55","47.03","61.18","28.65","18.97","7.56","11.11","13.74","12.3","10.33","8.9","7.25","7.75","6.1",4.41,4.87,4.28,2.75,NA,2016,"Flu"
"12",12,"10.78","39.04","43","22.73","13.96","7.8","9.52","11.61","8.82","7.98","7.04","5.77","5.63","5.25",4.36,4.51,4.07,2.61,NA,2016,"Flu"
"13",13,"7.33","29.37","26.76","10.52","7.23","5.14","7.21","7.87","6.27","5.54","4.71","3.82","3.83","3.64",3.46,5.17,3.82,3.36,NA,2016,"Flu"
"14",14,"5.46","19.95","15.88","6.42","5.2","4.2","6.24","6.95","5.48","4.02","3.75","3.19","3.65","3.48",2.94,3.94,2.64,2.12,NA,2016,"Flu"
"15",15,"3.1","12.01","11.57","5.19","3.35","2.21","2.96","3.62","2.51","2.16","1.79","1.6","1.66","1.72",1.45,1.91,1.49,1.15,NA,2016,"Flu"
"16",16,"1.73","6.42","7.83","3.67","2.47","1.03","1.3","1.78","1.15","1.37","1.05","0.8","0.77","0.59",0.96,0.93,0.78,0.38,NA,2016,"Flu"
"17",17,"1.09","4.21","5.31","2.64","1.41","0.63","0.97","0.86","0.81","0.75","0.43","0.44","0.55","0.53",0.5,0.41,0.37,0.36,NA,2016,"Flu"
"18",18,"0.52","1.97","2.57","0.98","0.41","0.37","0.37","0.59","0.51","0.29","0.3","0.14","0.24","0.36",0.2,0.27,0.25,0.2,NA,2016,"Flu"
"19",19,"0.49","1.17","2.91","0.98","0.38","0.35","0.35","0.46","0.45","0.44","0.29","0.26","0.29","0.25",0.22,0.25,0.25,0.12,NA,2016,"Flu"
"20",20,"0.15","0.51","0.42","0.19","0.12",NA,"0.2","0.17","0.04","0.21","0.18","0.06","0.05","0.11",0.11,0.08,0.05,0.18,NA,2016,"Flu"
"21",21,"0.08","0.48","0.19","0.19",NA,"0.09","0.06","0.06","0.04",NA,"0.05","0.04","0.05","0.04",0.04,0.05,0.05,0.02,NA,2016,"Flu"
"22",22,"0.12","0.13","1.08","0.82","0.05",NA,"0.02","0.04","0.02","0.06","0.05",NA,"0.05","0.02",0.11,0.03,0.02,0.04,NA,2016,"Flu"
"23",23,"0.03","0.13","0.03","0.05",NA,"0.04",NA,"0.04","0.02",NA,"0.05",NA,"0.03",NA,0.04,0.03,0.05,NA,NA,2016,"Flu"
"24",24,"0.02","0.03","0.08",NA,NA,NA,NA,"0.02",NA,"0.04","0.03","0.01",NA,NA,NA,0.05,0.02,NA,NA,2016,"Flu"
